time	V(v1)
0.000000000000000e+00	0.000000e+00
9.999999960041972e-12	8.817249e-10
1.999999992008394e-11	2.534866e-09
4.302957093551221e-08	7.698598e-06
8.603914187110434e-08	1.433103e-05
1.290487128066965e-07	1.989983e-05
1.720582837422886e-07	2.440499e-05
2.150678546778807e-07	2.784652e-05
2.580774256134728e-07	3.022442e-05
3.010869965490649e-07	3.153868e-05
4.490142928643839e-07	3.575202e-05
9.236768812740948e-07	3.830443e-05
8.485724246770954e-05	4.654752e-05
1.687908080541450e-04	5.286492e-05
2.527243736405804e-04	5.725661e-05
3.366579392270158e-04	5.972261e-05
4.205915048134513e-04	6.026290e-05
5.045250703998868e-04	5.887750e-05
5.884586359863220e-04	5.556640e-05
1.004458635986329e-03	4.620318e-05
2.028458635986259e-03	3.756164e-05
3.052458635986395e-03	3.697121e-05
4.076458635986531e-03	3.697348e-05
5.100458635986667e-03	3.697630e-05
6.124458635986802e-03	3.697646e-05
7.148458635986938e-03	3.697646e-05
8.172458635986762e-03	3.697646e-05
9.196458635986010e-03	3.697646e-05
1.022045863598526e-02	3.697646e-05
1.124445863598451e-02	3.697646e-05
1.226845863598375e-02	3.697646e-05
1.329245863598300e-02	3.697646e-05
1.431645863598225e-02	3.697646e-05
1.534045863598150e-02	3.697646e-05
1.636445863598203e-02	3.697646e-05
1.738845863598305e-02	3.697646e-05
1.841245863598407e-02	3.697646e-05
1.943645863598510e-02	3.697646e-05
2.046045863598612e-02	3.697646e-05
2.148445863598715e-02	3.697646e-05
2.250845863598817e-02	3.697646e-05
2.353245863598919e-02	3.697646e-05
2.455645863599022e-02	3.697646e-05
2.558045863599124e-02	3.697646e-05
2.660445863599227e-02	3.697646e-05
2.762845863599329e-02	3.697646e-05
2.865245863599431e-02	3.697646e-05
2.967645863599534e-02	3.697646e-05
3.070045863599636e-02	3.697646e-05
3.172445863599738e-02	3.697646e-05
3.274845863599841e-02	3.697646e-05
3.377245863599943e-02	3.697646e-05
3.479645863600046e-02	3.697646e-05
3.582045863600148e-02	3.697646e-05
3.684445863600250e-02	3.697646e-05
3.786845863600353e-02	3.697646e-05
3.889245863600455e-02	3.697646e-05
3.991645863600558e-02	3.697646e-05
4.094045863600660e-02	3.697646e-05
4.196445863600762e-02	3.697646e-05
4.298845863600865e-02	3.697646e-05
4.401245863600967e-02	3.697646e-05
4.503645863601070e-02	3.697646e-05
4.606045863601172e-02	3.697646e-05
4.708445863601275e-02	3.697646e-05
4.810845863601377e-02	3.697646e-05
4.913245863601479e-02	3.697646e-05
4.990000000000000e-02	3.697646e-05
4.990000100000000e-02	1.837592e-03
4.990000684571426e-02	1.825471e-03
4.990001269142853e-02	1.807728e-03
4.990001853714279e-02	1.784363e-03
4.990002438285705e-02	1.755376e-03
4.990003022857131e-02	1.720768e-03
4.990003607428558e-02	1.680538e-03
4.990004191999984e-02	1.634686e-03
4.990009356507585e-02	1.255227e-03
4.990012723829691e-02	1.040053e-03
4.990019059875105e-02	7.287771e-04
4.990027048383050e-02	4.594236e-04
4.990035906520154e-02	2.759191e-04
4.990044322500411e-02	1.764234e-04
4.990055131016263e-02	1.081732e-04
4.990067438046658e-02	6.967669e-05
4.990083966214524e-02	4.824748e-05
4.990104014024912e-02	3.947242e-05
4.990685277098544e-02	5.145139e-05
4.991266540172175e-02	8.078672e-05
4.991847803245807e-02	1.274784e-04
4.992429066319438e-02	1.915264e-04
4.993010329393070e-02	2.729308e-04
4.993591592466701e-02	3.716916e-04
4.994172855540333e-02	4.878087e-04
4.995129998397476e-02	7.136898e-04
4.996087141254620e-02	9.735044e-04
4.997044284111764e-02	1.267253e-03
4.998001426968908e-02	1.594934e-03
4.998958569826051e-02	1.956549e-03
4.999915712683196e-02	2.352098e-03
5.000872855540339e-02	2.781580e-03
5.001844284111769e-02	3.244623e-03
5.002815712683199e-02	3.730174e-03
5.003787141254628e-02	4.238231e-03
5.004758569826057e-02	4.768797e-03
5.005729998397487e-02	5.321870e-03
5.006701426968917e-02	5.897450e-03
5.007672855540346e-02	6.495538e-03
5.007801426968918e-02	6.575529e-03
5.007929998397489e-02	6.655813e-03
5.008058569826061e-02	6.736391e-03
5.008187141254632e-02	6.817262e-03
5.008315712683204e-02	6.898426e-03
5.008444284111775e-02	6.979884e-03
5.008572855540347e-02	7.061635e-03
5.008672855540347e-02	7.125409e-03
5.009787141254634e-02	7.851392e-03
5.010901426968921e-02	8.592251e-03
5.012015712683208e-02	9.347986e-03
5.013129998397494e-02	1.011860e-02
5.014244284111781e-02	1.090408e-02
5.015358569826068e-02	1.170444e-02
5.016472855540355e-02	1.251968e-02
5.018029998397499e-02	1.367645e-02
5.019587141254644e-02	1.484045e-02
5.021144284111788e-02	1.601171e-02
5.022701426968933e-02	1.719021e-02
5.024258569826077e-02	1.837595e-02
5.025815712683222e-02	1.956894e-02
5.027372855540366e-02	2.076918e-02
5.029629998397511e-02	2.250632e-02
5.031887141254656e-02	2.422148e-02
5.034144284111801e-02	2.591466e-02
5.036401426968946e-02	2.758587e-02
5.038658569826091e-02	2.923511e-02
5.040915712683237e-02	3.086236e-02
5.043172855540382e-02	3.246764e-02
5.046158569826099e-02	3.453118e-02
5.049144284111816e-02	3.652323e-02
5.052129998397533e-02	3.844380e-02
5.055115712683251e-02	4.029289e-02
5.058101426968968e-02	4.207049e-02
5.061087141254685e-02	4.377662e-02
5.064072855540402e-02	4.541127e-02
5.067958569826121e-02	4.741205e-02
5.071844284111839e-02	4.929587e-02
5.075729998397557e-02	5.106274e-02
5.079615712683275e-02	5.271265e-02
5.083501426968993e-02	5.424561e-02
5.087387141254712e-02	5.566161e-02
5.091272855540430e-02	5.696065e-02
5.094087141254718e-02	5.784077e-02
5.096901426969007e-02	5.867519e-02
5.099715712683296e-02	5.946390e-02
5.102529998397583e-02	6.020690e-02
5.105344284111872e-02	6.090421e-02
5.108158569826161e-02	6.155580e-02
5.110972855540449e-02	6.216169e-02
5.111072855540449e-02	6.218268e-02
5.117029998397598e-02	6.331042e-02
