time	V(v1)
0.000000000000000e+00	0.000000e+00
9.999999960041972e-12	-4.022957e-06
1.999999992008394e-11	-8.045074e-06
1.000000000000000e-09	-4.021518e-04
1.152742864621174e-08	-3.913056e-04
2.205485729242348e-08	-3.783297e-04
3.258228593863522e-08	-3.632242e-04
4.310971458484696e-08	-3.459891e-04
5.363714323105870e-08	-3.266243e-04
6.416457187727043e-08	-3.051299e-04
7.469200052348216e-08	-2.815058e-04
1.209702385336199e-07	-2.018808e-04
1.877299163353872e-07	-1.190938e-04
3.029830436330769e-07	-3.621367e-05
4.415737265122194e-07	1.103552e-05
5.917022870396459e-07	2.973618e-05
1.069017913276660e-06	3.872964e-05
5.826911444007570e-06	2.363021e-05
1.058480497473848e-05	-6.066369e-06
1.534269850546939e-05	-5.036010e-05
2.010059203620030e-05	-1.092510e-04
2.485848556693121e-05	-1.827390e-04
2.961637909766212e-05	-2.708242e-04
3.437427262839303e-05	-3.735065e-04
4.008855834267873e-05	-5.109695e-04
4.580284405696442e-05	-6.600365e-04
5.151712977125013e-05	-8.207075e-04
5.723141548553582e-05	-9.929827e-04
6.294570119982153e-05	-1.176862e-03
6.865998691410723e-05	-1.372345e-03
7.437427262839291e-05	-1.579433e-03
8.008855834267862e-05	-1.793638e-03
8.580284405696431e-05	-2.013701e-03
9.151712977125002e-05	-2.239622e-03
9.723141548553571e-05	-2.471401e-03
1.029457011998214e-04	-2.709037e-03
1.086599869141071e-04	-2.952532e-03
1.143742726283928e-04	-3.201885e-03
1.206599869141071e-04	-3.480322e-03
1.269457011998213e-04	-3.761973e-03
1.332314154855356e-04	-4.046838e-03
1.395171297712499e-04	-4.334918e-03
1.458028440569642e-04	-4.626212e-03
1.520885583426784e-04	-4.920721e-03
1.583742726283927e-04	-5.218443e-03
1.676599869141069e-04	-5.661836e-03
1.769457011998212e-04	-6.107022e-03
1.862314154855355e-04	-6.554003e-03
1.955171297712497e-04	-7.002776e-03
2.048028440569640e-04	-7.453344e-03
2.140885583426782e-04	-7.905705e-03
2.233742726283925e-04	-8.359861e-03
2.385171297712499e-04	-9.100309e-03
2.536599869141074e-04	-9.837893e-03
2.688028440569648e-04	-1.057261e-02
2.839457011998222e-04	-1.130447e-02
2.990885583426797e-04	-1.203346e-02
3.142314154855371e-04	-1.275959e-02
3.293742726283945e-04	-1.348285e-02
3.639457011998240e-04	-1.511446e-02
3.985171297712533e-04	-1.671928e-02
4.330885583426828e-04	-1.829731e-02
4.676599869141122e-04	-1.984854e-02
5.022314154855416e-04	-2.137299e-02
5.368028440569711e-04	-2.287065e-02
5.713742726284004e-04	-2.434152e-02
6.320885583426872e-04	-2.685529e-02
6.928028440569741e-04	-2.929602e-02
7.535171297712610e-04	-3.166372e-02
8.142314154855480e-04	-3.395838e-02
8.749457011998349e-04	-3.618001e-02
9.356599869141217e-04	-3.832860e-02
9.963742726284085e-04	-4.040416e-02
9.973742726284084e-04	-4.043788e-02
1.143517129771256e-03	-4.512356e-02
1.289659986914102e-03	-4.951820e-02
1.435802844056949e-03	-5.362180e-02
1.581945701199797e-03	-5.743437e-02
1.728088558342643e-03	-6.095591e-02
1.874231415485490e-03	-6.418642e-02
2.020374272628337e-03	-6.712589e-02
2.021374272628337e-03	-6.714559e-02
2.167517129771214e-03	-6.988266e-02
2.313659986914090e-03	-7.244973e-02
2.459802844056967e-03	-7.484679e-02
2.605945701199844e-03	-7.707385e-02
2.752088558342720e-03	-7.913091e-02
2.898231415485597e-03	-8.101797e-02
3.044374272628473e-03	-8.273502e-02
3.045374272628473e-03	-8.274652e-02
3.191517129771350e-03	-8.434535e-02
3.337659986914226e-03	-8.584487e-02
3.483802844057103e-03	-8.724508e-02
3.629945701199979e-03	-8.854599e-02
3.776088558342856e-03	-8.974759e-02
3.922231415485733e-03	-9.084988e-02
4.068374272628609e-03	-9.185287e-02
4.069374272628609e-03	-9.185959e-02
4.215517129771485e-03	-9.279353e-02
4.361659986914362e-03	-9.366945e-02
4.507802844057238e-03	-9.448736e-02
4.653945701200115e-03	-9.524727e-02
4.800088558342992e-03	-9.594917e-02
4.946231415485869e-03	-9.659306e-02
5.092374272628744e-03	-9.717894e-02
5.093374272628745e-03	-9.718287e-02
5.239517129771621e-03	-9.772842e-02
5.385659986914498e-03	-9.824008e-02
5.531802844057374e-03	-9.871785e-02
5.677945701200251e-03	-9.916174e-02
5.824088558343128e-03	-9.957174e-02
5.970231415486004e-03	-9.994786e-02
6.116374272628880e-03	-1.002901e-01
6.117374272628880e-03	-1.002924e-01
6.263517129771757e-03	-1.006111e-01
6.409659986914634e-03	-1.009099e-01
6.555802844057510e-03	-1.011890e-01
6.701945701200387e-03	-1.014483e-01
6.848088558343264e-03	-1.016878e-01
6.994231415486140e-03	-1.019075e-01
7.140374272629016e-03	-1.021074e-01
7.141374272629016e-03	-1.021088e-01
8.165374272628846e-03	-1.031698e-01
9.189374272628094e-03	-1.037896e-01
1.021337427262734e-02	-1.041516e-01
1.123737427262659e-02	-1.043631e-01
1.226137427262584e-02	-1.044866e-01
1.328537427262508e-02	-1.045588e-01
1.430937427262433e-02	-1.046009e-01
1.533337427262358e-02	-1.046255e-01
1.635737427262410e-02	-1.046399e-01
1.738137427262512e-02	-1.046483e-01
1.840537427262615e-02	-1.046532e-01
1.942937427262717e-02	-1.046561e-01
2.045337427262819e-02	-1.046578e-01
2.147737427262922e-02	-1.046588e-01
2.250137427263024e-02	-1.046593e-01
