time	V(v2)
0.000000000000000e+00	0.000000e+00
9.999999960041972e-12	-2.529967e-05
1.999999992008394e-11	-5.059856e-05
1.000000000000000e-09	-2.529749e-03
6.261142894516174e-09	-2.514521e-03
1.152228578903235e-08	-2.492308e-03
1.678342868354852e-08	-2.463109e-03
2.204457157806469e-08	-2.426926e-03
2.730571447258087e-08	-2.383758e-03
3.256685736709705e-08	-2.333604e-03
3.782800026161321e-08	-2.276466e-03
8.219420625909082e-08	-1.805517e-03
1.131122715509189e-07	-1.504777e-03
1.669369734007579e-07	-1.083641e-03
2.374120878718125e-07	-7.007108e-04
3.540200503309960e-07	-3.269291e-04
4.777312238377372e-07	-1.261624e-04
6.364763880494742e-07	-2.175711e-05
8.250163567858675e-07	2.102159e-05
1.108734560502395e-06	3.647989e-05
6.842468923973641e-06	2.291027e-05
1.257620328744489e-05	-1.071568e-05
1.830993765091613e-05	-6.439795e-05
2.404367201438738e-05	-1.381366e-04
2.977740637785862e-05	-2.319315e-04
3.551114074132987e-05	-3.457828e-04
4.124487510480110e-05	-4.796904e-04
5.038773224765822e-05	-7.314173e-04
5.953058939051534e-05	-1.021086e-03
6.867344653337246e-05	-1.348696e-03
7.781630367622959e-05	-1.714248e-03
8.695916081908670e-05	-2.117741e-03
9.610201796194382e-05	-2.559176e-03
1.052448751048009e-04	-3.038553e-03
1.149591608190866e-04	-3.581845e-03
1.246734465333723e-04	-4.154055e-03
1.343877322476580e-04	-4.755181e-03
1.441020179619437e-04	-5.385225e-03
1.538163036762294e-04	-6.044185e-03
1.635305893905151e-04	-6.732062e-03
1.732448751048007e-04	-7.448856e-03
1.826734465333722e-04	-8.165461e-03
1.921020179619435e-04	-8.899116e-03
2.015305893905150e-04	-9.649821e-03
2.109591608190864e-04	-1.041758e-02
2.203877322476578e-04	-1.120238e-02
2.298163036762292e-04	-1.200424e-02
2.392448751048006e-04	-1.282315e-02
2.471020179619436e-04	-1.351437e-02
2.549591608190866e-04	-1.421253e-02
2.628163036762296e-04	-1.491764e-02
2.706734465333727e-04	-1.562970e-02
2.785305893905157e-04	-1.634871e-02
2.863877322476588e-04	-1.707466e-02
2.942448751048018e-04	-1.780756e-02
3.103877322476593e-04	-1.933451e-02
3.265305893905169e-04	-2.087017e-02
3.426734465333744e-04	-2.241456e-02
3.588163036762319e-04	-2.396766e-02
