Freq.	V(n004)
6.00129963992798e+04	(1.84940789627713e+01dB,1.45486184743361e+02°)
6.20133962792558e+04	(1.84086486455628e+01dB,1.44566818501238e+02°)
6.40137961592318e+04	(1.83221404085435e+01dB,1.43664288559760e+02°)
6.60141960392078e+04	(1.82346494799377e+01dB,1.42778460776387e+02°)
6.80145959191838e+04	(1.81462673241126e+01dB,1.41909178445789e+02°)
7.00149957991598e+04	(1.80570816061208e+01dB,1.41056264600768e+02°)
7.20153956791358e+04	(1.79671761815602e+01dB,1.40219524207298e+02°)
7.40157955591118e+04	(1.78766311096625e+01dB,1.39398746254816e+02°)
7.60161954390878e+04	(1.77855226860795e+01dB,1.38593705729475e+02°)
7.80165953190638e+04	(1.76939234927039e+01dB,1.37804165468466e+02°)
8.00169951990398e+04	(1.76019024628366e+01dB,1.37029877897158e+02°)
8.20173950790158e+04	(1.75095249593108e+01dB,1.36270586651482e+02°)
8.40177949589918e+04	(1.74168528619699e+01dB,1.35526028074675e+02°)
8.60181948389678e+04	(1.73239446648960e+01dB,1.34795932606860e+02°)
8.80185947189438e+04	(1.72308555804376e+01dB,1.34080026064661e+02°)
9.00189945989198e+04	(1.71376376473213e+01dB,1.33378030804597e+02°)
9.20193944788958e+04	(1.70443398448270e+01dB,1.32689666799403e+02°)
9.40197943588718e+04	(1.69510082075633e+01dB,1.32014652602345e+02°)
9.60201942388478e+04	(1.68576859423794e+01dB,1.31352706225854e+02°)
9.80205941188238e+04	(1.67644135475641e+01dB,1.30703545940847e+02°)
1.00020993998800e+05	(1.66712289282834e+01dB,1.30066890974521e+02°)
1.02021393878776e+05	(1.65781675150359e+01dB,1.29442462156462e+02°)
1.04021793758752e+05	(1.64852623769494e+01dB,1.28829982471324e+02°)
1.06022193638728e+05	(1.63925443362568e+01dB,1.28229177565779e+02°)
1.08022593518704e+05	(1.63000420771970e+01dB,1.27639776175408e+02°)
1.10022993398680e+05	(1.62077822546564e+01dB,1.27061510511692e+02°)
1.12023393278656e+05	(1.61157895978294e+01dB,1.26494116588083e+02°)
1.14023793158632e+05	(1.60240870123497e+01dB,1.25937334503425e+02°)
1.16024193038608e+05	(1.59326956760119e+01dB,1.25390908674578e+02°)
1.18024592918584e+05	(1.58416351347160e+01dB,1.24854588042090e+02°)
1.20024992798560e+05	(1.57509233919739e+01dB,1.24328126231518e+02°)
1.22025392678536e+05	(1.56605769956869e+01dB,1.23811281683492e+02°)
1.24025792558512e+05	(1.55706111209823e+01dB,1.23303817756700e+02°)
1.26026192438488e+05	(1.54810396488977e+01dB,1.22805502799161e+02°)
1.28026592318464e+05	(1.53918752437581e+01dB,1.22316110209772e+02°)
1.30026992198440e+05	(1.53031294238298e+01dB,1.21835418461149e+02°)
1.32027392078416e+05	(1.52148126298908e+01dB,1.21363211114085e+02°)
1.34027791958392e+05	(1.51269342919969e+01dB,1.20899276818066e+02°)
1.36028191838368e+05	(1.50395028888535e+01dB,1.20443409281788e+02°)
1.38028591718344e+05	(1.49525260098423e+01dB,1.19995407255875e+02°)
1.40028991598320e+05	(1.48660104075221e+01dB,1.19555074475985e+02°)
1.42029391478296e+05	(1.47799620523377e+01dB,1.19122219617278e+02°)
1.44029791358272e+05	(1.46943861820129e+01dB,1.18696656232287e+02°)
1.46030191238248e+05	(1.46092873489568e+01dB,1.18278202681400e+02°)
1.48030591118224e+05	(1.45246694631717e+01dB,1.17866682053618e+02°)
1.50030990998200e+05	(1.44405358369605e+01dB,1.17461922093116e+02°)
1.52031390878176e+05	(1.43568892231663e+01dB,1.17063755112304e+02°)
1.54031790758152e+05	(1.42737318513453e+01dB,1.16672017896951e+02°)
1.56032190638128e+05	(1.41910654661005e+01dB,1.16286551627731e+02°)
1.58032590518104e+05	(1.41088913575313e+01dB,1.15907201774786e+02°)
1.60032990398080e+05	(1.40272103938988e+01dB,1.15533818009663e+02°)
1.62033390278056e+05	(1.39460230502848e+01dB,1.15166254105393e+02°)
1.64033790158032e+05	(1.38653294372336e+01dB,1.14804367843457e+02°)
1.66034190038008e+05	(1.37851293255325e+01dB,1.14448020911901e+02°)
1.68034589917984e+05	(1.37054221722188e+01dB,1.14097078813998e+02°)
1.70034989797960e+05	(1.36262071423299e+01dB,1.13751410766574e+02°)
1.72035389677936e+05	(1.35474831305514e+01dB,1.13410889605401e+02°)
1.74035789557912e+05	(1.34692487821570e+01dB,1.13075391690850e+02°)
1.76036189437888e+05	(1.33915025123447e+01dB,1.12744796814555e+02°)
1.78036589317864e+05	(1.33142425217810e+01dB,1.12418988100708e+02°)
1.80036989197840e+05	(1.32374668171468e+01dB,1.12097851924828e+02°)
1.82037389077816e+05	(1.31611732230683e+01dB,1.11781277813085e+02°)
1.84037788957792e+05	(1.30853593990999e+01dB,1.11469158360319e+02°)
1.86038188837768e+05	(1.30100228532743e+01dB,1.11161389141784e+02°)
1.88038588717744e+05	(1.29351609541600e+01dB,1.10857868627441e+02°)
1.90038988597720e+05	(1.28607709437967e+01dB,1.10558498100061e+02°)
1.92039388477696e+05	(1.27868499481245e+01dB,1.10263181571186e+02°)
1.94039788357672e+05	(1.27133949892435e+01dB,1.09971825706895e+02°)
1.96040188237648e+05	(1.26404029933571e+01dB,1.09684339744616e+02°)
1.98040588117624e+05	(1.25678708009466e+01dB,1.09400635420498e+02°)
2.00040987997600e+05	(1.24957951760862e+01dB,1.09120626897288e+02°)
2.02041387877576e+05	(1.24241728136736e+01dB,1.08844230689442e+02°)
2.04041787757552e+05	(1.23530003475536e+01dB,1.08571365596106e+02°)
2.06042187637528e+05	(1.22822743563881e+01dB,1.08301952629330e+02°)
2.08042587517504e+05	(1.22119913722711e+01dB,1.08035914953798e+02°)
2.10042987397480e+05	(1.21421478856896e+01dB,1.07773177818746e+02°)
2.12043387277456e+05	(1.20727403500727e+01dB,1.07513668494215e+02°)
2.14043787157432e+05	(1.20037651896664e+01dB,1.07257316214381e+02°)
2.16044187037408e+05	(1.19352188037082e+01dB,1.07004052120156e+02°)
2.18044586917384e+05	(1.18670975698937e+01dB,1.06753809194870e+02°)
2.20044986797360e+05	(1.17993978497325e+01dB,1.06506522215878e+02°)
2.22045386677336e+05	(1.17321159922250e+01dB,1.06262127697799e+02°)
2.24045786557312e+05	(1.16652483384427e+01dB,1.06020563841867e+02°)
2.26046186437288e+05	(1.15987912234090e+01dB,1.05781770484473e+02°)
2.28046586317264e+05	(1.15327409803400e+01dB,1.05545689046811e+02°)
2.30046986197240e+05	(1.14670939440648e+01dB,1.05312262492578e+02°)
2.32047386077216e+05	(1.14018464533633e+01dB,1.05081435277184e+02°)
2.34047785957192e+05	(1.13369948527666e+01dB,1.04853153303700e+02°)
2.36048185837168e+05	(1.12725354956816e+01dB,1.04627363882669e+02°)
2.38048585717144e+05	(1.12084647469228e+01dB,1.04404015687856e+02°)
2.40048985597120e+05	(1.11447789839866e+01dB,1.04183058715987e+02°)
2.42049385477096e+05	(1.10814745998536e+01dB,1.03964444250573e+02°)
2.44049785357072e+05	(1.10185480030281e+01dB,1.03748124817909e+02°)
2.46050185237048e+05	(1.09559956214740e+01dB,1.03534054157486e+02°)
2.48050585117024e+05	(1.08938139015097e+01dB,1.03322187179422e+02°)
2.50050984997000e+05	(1.08319993115471e+01dB,1.03112479936313e+02°)
2.52051384876976e+05	(1.07705483416099e+01dB,1.02904889587204e+02°)
2.54051784756952e+05	(1.07094575047478e+01dB,1.02699374363042e+02°)
2.56052184636928e+05	(1.06487233387662e+01dB,1.02495893538974e+02°)
2.58052584516904e+05	(1.05883424062026e+01dB,1.02294407400907e+02°)
2.60052984396880e+05	(1.05283112967149e+01dB,1.02094877221408e+02°)
2.62053384276856e+05	(1.04686266256172e+01dB,1.01897265224281e+02°)
2.64053784156832e+05	(1.04092850354082e+01dB,1.01701534561599e+02°)
2.66054184036808e+05	(1.03502831971253e+01dB,1.01507649286706e+02°)
2.68054583916784e+05	(1.02916178109028e+01dB,1.01315574327859e+02°)
2.70054983796760e+05	(1.02332856053319e+01dB,1.01125275463182e+02°)
2.72055383676736e+05	(1.01752833386260e+01dB,1.00936719296097e+02°)
2.74055783556712e+05	(1.01176077978637e+01dB,1.00749873231893e+02°)
2.76056183436688e+05	(1.00602558010462e+01dB,1.00564705456844e+02°)
2.78056583316664e+05	(1.00032241965640e+01dB,1.00381184913560e+02°)
2.80056983196640e+05	(9.94650986360145e+00dB,1.00199281283177e+02°)
2.82057383076616e+05	(9.89010971069301e+00dB,1.00018964960063e+02°)
2.84057782956592e+05	(9.83402067821355e+00dB,9.98402070363847e+01°)
2.86058182836568e+05	(9.77823973769592e+00dB,9.96629792798348e+01°)
2.88058582716544e+05	(9.72276389124134e+00dB,9.94872541168681e+01°)
2.90058982596520e+05	(9.66759017163027e+00dB,9.93130046129267e+01°)
2.92059382476496e+05	(9.61271564307461e+00dB,9.91402044546049e+01°)
2.94059782356472e+05	(9.55813740102319e+00dB,9.89688279361895e+01°)
2.96060182236448e+05	(9.50385257143175e+00dB,9.87988499380845e+01°)
2.98060582116424e+05	(9.44985831142725e+00dB,9.86302459147665e+01°)
3.00060981996400e+05	(9.39615180824390e+00dB,9.84629918763836e+01°)
3.02061381876376e+05	(9.34273028098202e+00dB,9.82970643771992e+01°)
3.04061781756352e+05	(9.28959097798293e+00dB,9.81324404950676e+01°)
3.06062181636328e+05	(9.23673117923570e+00dB,9.79690978260787e+01°)
3.08062581516304e+05	(9.18414819384445e+00dB,9.78070144621694e+01°)
3.10062981396280e+05	(9.13183936162757e+00dB,9.76461689834953e+01°)
3.12063381276256e+05	(9.07980205195162e+00dB,9.74865404427004e+01°)
3.14063781156232e+05	(9.02803366458979e+00dB,9.73281083535592e+01°)
3.16064181036208e+05	(8.97653162747930e+00dB,9.71708526788970e+01°)
3.18064580916184e+05	(8.92529339908493e+00dB,9.70147538189344e+01°)
3.20064980796160e+05	(8.87431646601554e+00dB,9.68597925984901e+01°)
3.22065380676136e+05	(8.82359834453145e+00dB,9.67059502583179e+01°)
3.24065780556112e+05	(8.77313657855804e+00dB,9.65532084419943e+01°)
3.26066180436088e+05	(8.72292874049709e+00dB,9.64015491866003e+01°)
3.28066580316064e+05	(8.67297243113251e+00dB,9.62509549132009e+01°)
3.30066980196040e+05	(8.62326527866198e+00dB,9.61014084163337e+01°)
3.32067380076016e+05	(8.57380493939660e+00dB,9.59528928535117e+01°)
3.34067779955992e+05	(8.52458909625063e+00dB,9.58053917391947e+01°)
3.36068179835968e+05	(8.47561545942774e+00dB,9.56588889305590e+01°)
3.38068579715944e+05	(8.42688176604890e+00dB,9.55133686255996e+01°)
3.40068979595920e+05	(8.37838577835344e+00dB,9.53688153467920e+01°)
3.42069379475896e+05	(8.33012528700011e+00dB,9.52252139401469e+01°)
3.44069779355872e+05	(8.28209810615864e+00dB,9.50825495629928e+01°)
3.46070179235848e+05	(8.23430207779047e+00dB,9.49408076775640e+01°)
3.48070579115824e+05	(8.18673506784899e+00dB,9.47999740436896e+01°)
3.50070978995800e+05	(8.13939496626807e+00dB,9.46600347092727e+01°)
3.52071378875776e+05	(8.09227968985863e+00dB,9.45209760068281e+01°)
3.54071778755752e+05	(8.04538717989612e+00dB,9.43827845443860e+01°)
3.56072178635728e+05	(7.99871539927653e+00dB,9.42454471981272e+01°)
3.58072578515704e+05	(7.95226233732866e+00dB,9.41089511078151e+01°)
3.60072978395680e+05	(7.90602600585645e+00dB,9.39732836700041e+01°)
3.62073378275656e+05	(7.86000444010598e+00dB,9.38384325282118e+01°)
3.64073778155632e+05	(7.81419569892820e+00dB,9.37043855746572e+01°)
3.66074178035608e+05	(7.76859786276446e+00dB,9.35711309367002e+01°)
3.68074577915584e+05	(7.72320903581162e+00dB,9.34386569749018e+01°)
3.70074977795560e+05	(7.67802734369380e+00dB,9.33069522780999e+01°)
3.72075377675536e+05	(7.63305093423963e+00dB,9.31760056546038e+01°)
3.74075777555512e+05	(7.58827797701805e+00dB,9.30458061321493e+01°)
3.76076177435488e+05	(7.54370666233418e+00dB,9.29163429477036e+01°)
3.78076577315464e+05	(7.49933520267262e+00dB,9.27876055461854e+01°)
3.80076977195440e+05	(7.45516183048066e+00dB,9.26595835734712e+01°)
3.82077377075416e+05	(7.41118480008215e+00dB,9.25322668727368e+01°)
3.84077776955392e+05	(7.36740238391875e+00dB,9.24056454796036e+01°)
3.86078176835368e+05	(7.32381287597245e+00dB,9.22797096180252e+01°)
3.88078576715344e+05	(7.28041459055274e+00dB,9.21544496968913e+01°)
3.90078976595320e+05	(7.23720586070257e+00dB,9.20298563019448e+01°)
3.92079376475296e+05	(7.19418503846172e+00dB,9.19059201980072e+01°)
3.94079776355272e+05	(7.15135049559292e+00dB,9.17826323182776e+01°)
3.96080176235248e+05	(7.10870062221470e+00dB,9.16599837660657e+01°)
3.98080576115224e+05	(7.06623382760552e+00dB,9.15379658074415e+01°)
4.00080975995200e+05	(7.02394853881820e+00dB,9.14165698685853e+01°)
4.02081375875176e+05	(6.98184320111295e+00dB,9.12957875341520e+01°)
4.04081775755152e+05	(6.93991627802625e+00dB,9.11756105402808e+01°)
4.06082175635128e+05	(6.89816624919999e+00dB,9.10560307738373e+01°)
4.08082575515104e+05	(6.85659161370808e+00dB,9.09370402676591e+01°)
4.10082975395080e+05	(6.81519088718964e+00dB,9.08186311989202e+01°)
4.12083375275056e+05	(6.77396260113360e+00dB,9.07007958840973e+01°)
4.14083775155032e+05	(6.73290530424934e+00dB,9.05835267779418e+01°)
4.16084175035008e+05	(6.69201756251030e+00dB,9.04668164681232e+01°)
4.18084574914984e+05	(6.65129795701963e+00dB,9.03506576744505e+01°)
4.20084974794960e+05	(6.61074508639850e+00dB,9.02350432455052e+01°)
4.22085374674936e+05	(6.57035756344159e+00dB,9.01199661556922e+01°)
4.24085774554912e+05	(6.53013401771548e+00dB,9.00054195013665e+01°)
4.26086174434888e+05	(6.49007309328657e+00dB,8.98913964992578e+01°)
4.28086574314864e+05	(6.45017345067491e+00dB,8.97778904857207e+01°)
4.30086974194840e+05	(6.41043376377000e+00dB,8.96648949120562e+01°)
4.32087374074816e+05	(6.37085272375253e+00dB,8.95524033401795e+01°)
4.34087773954792e+05	(6.33142903318559e+00dB,8.94404094457682e+01°)
4.36088173834768e+05	(6.29216141183376e+00dB,8.93289070126569e+01°)
4.38088573714744e+05	(6.25304859178657e+00dB,8.92178899268992e+01°)
4.40088973594720e+05	(6.21408932088838e+00dB,8.91073521828468e+01°)
4.42089373474696e+05	(6.17528235963282e+00dB,8.89972878739968e+01°)
4.44089773354672e+05	(6.13662648272371e+00dB,8.88876911941739e+01°)
4.46090173234648e+05	(6.09812047775043e+00dB,8.87785564366947e+01°)
4.48090573114624e+05	(6.05976314613739e+00dB,8.86698779856615e+01°)
4.50090972994600e+05	(6.02155330287806e+00dB,8.85616503230139e+01°)
4.52091372874576e+05	(5.98348977464148e+00dB,8.84538680225431e+01°)
4.54091772754552e+05	(5.94557140229752e+00dB,8.83465257442774e+01°)
4.56092172634528e+05	(5.90779703851368e+00dB,8.82396182394781e+01°)
4.58092572514504e+05	(5.87016554883002e+00dB,8.81331403444082e+01°)
4.60092972394480e+05	(5.83267581048509e+00dB,8.80270869815610e+01°)
4.62093372274456e+05	(5.79532671349393e+00dB,8.79214531534860e+01°)
4.64093772154432e+05	(5.75811715923156e+00dB,8.78162339462248e+01°)
4.66094172034408e+05	(5.72104606240622e+00dB,8.77114245243263e+01°)
4.68094571914384e+05	(5.68411234731670e+00dB,8.76070201320239e+01°)
4.70094971794360e+05	(5.64731495041370e+00dB,8.75030160872470e+01°)
4.72095371674336e+05	(5.61065282074271e+00dB,8.73994077851050e+01°)
4.74095771554312e+05	(5.57412491728609e+00dB,8.72961906938828e+01°)
4.76096171434288e+05	(5.53773021063184e+00dB,8.71933603546715e+01°)
4.78096571314264e+05	(5.50146768163187e+00dB,8.70909123766567e+01°)
4.80096971194240e+05	(5.46533632294281e+00dB,8.69888424414834e+01°)
4.82097371074216e+05	(5.42933513715321e+00dB,8.68871462979551e+01°)
4.84097770954192e+05	(5.39346313796018e+00dB,8.67858197599087e+01°)
4.86098170834168e+05	(5.35771934806715e+00dB,8.66848587092446e+01°)
4.88098570714144e+05	(5.32210280194159e+00dB,8.65842590902798e+01°)
4.90098970594120e+05	(5.28661254397732e+00dB,8.64840169100994e+01°)
4.92099370474096e+05	(5.25124762758509e+00dB,8.63841282388759e+01°)
4.94099770354072e+05	(5.21600711691612e+00dB,8.62845892084924e+01°)
4.96100170234048e+05	(5.18089008520756e+00dB,8.61853960065310e+01°)
4.98100570114024e+05	(5.14589561539059e+00dB,8.60865448821245e+01°)
5.00100969994000e+05	(5.11102280063257e+00dB,8.59880321407728e+01°)
5.02101369873976e+05	(5.07627074329040e+00dB,8.58898541433970e+01°)
5.04101769753952e+05	(5.04163855344220e+00dB,8.57920073073876e+01°)
5.06102169633928e+05	(5.00712535246153e+00dB,8.56944881056285e+01°)
5.08102569513904e+05	(4.97273026866667e+00dB,8.55972930581387e+01°)
5.10102969393880e+05	(4.93845244089484e+00dB,8.55004187451105e+01°)
5.12103369273856e+05	(4.90429101562725e+00dB,8.54038617918089e+01°)
5.14103769153832e+05	(4.87024514918317e+00dB,8.53076188781951e+01°)
5.16104169033808e+05	(4.83631400560053e+00dB,8.52116867302335e+01°)
5.18104568913784e+05	(4.80249675697196e+00dB,8.51160621231683e+01°)
5.20104968793760e+05	(4.76879258511755e+00dB,8.50207418832615e+01°)
5.22105368673736e+05	(4.73520067821024e+00dB,8.49257228777744e+01°)
5.24105768553712e+05	(4.70172023428639e+00dB,8.48310020242770e+01°)
5.26106168433688e+05	(4.66835045869396e+00dB,8.47365762846397e+01°)
5.28106568313664e+05	(4.63509056421732e+00dB,8.46424426626692e+01°)
5.30106968193640e+05	(4.60193977250190e+00dB,8.45485982086564e+01°)
5.32107368073616e+05	(4.56889731222367e+00dB,8.44550400142537e+01°)
5.34107767953592e+05	(4.53596241987525e+00dB,8.43617652133059e+01°)
5.36108167833568e+05	(4.50313433986551e+00dB,8.42687709807092e+01°)
5.38108567713544e+05	(4.47041232254215e+00dB,8.41760545332968e+01°)
5.40108967593520e+05	(4.43779562789826e+00dB,8.40836131247291e+01°)
5.42109367473496e+05	(4.40528352201349e+00dB,8.39914440507715e+01°)
5.44109767353471e+05	(4.37287527709594e+00dB,8.38995446433048e+01°)
5.46110167233447e+05	(4.34057017476545e+00dB,8.38079122750877e+01°)
5.48110567113423e+05	(4.30836750169707e+00dB,8.37165443527136e+01°)
5.50110966993399e+05	(4.27626655260478e+00dB,8.36254383186384e+01°)
5.52111366873375e+05	(4.24426662775562e+00dB,8.35345916583543e+01°)
5.54111766753351e+05	(4.21236703605889e+00dB,8.34440018830407e+01°)
5.56112166633327e+05	(4.18056709166094e+00dB,8.33536665443261e+01°)
5.58112566513303e+05	(4.14886611589232e+00dB,8.32635832260966e+01°)
5.60112966393279e+05	(4.11726343598189e+00dB,8.31737495481371e+01°)
5.62113366273255e+05	(4.08575838607468e+00dB,8.30841631581879e+01°)
5.64113766153231e+05	(4.05435030709600e+00dB,8.29948217416638e+01°)
5.66114166033207e+05	(4.02303854507047e+00dB,8.29057230109475e+01°)
5.68114565913183e+05	(3.99182245340083e+00dB,8.28168647145736e+01°)
5.70114965793159e+05	(3.96070139093863e+00dB,8.27282446293302e+01°)
5.72115365673135e+05	(3.92967472260252e+00dB,8.26398605616741e+01°)
5.74115765553111e+05	(3.89874182002740e+00dB,8.25517103479539e+01°)
5.76116165433087e+05	(3.86790205976213e+00dB,8.24637918570382e+01°)
5.78116565313063e+05	(3.83715482452714e+00dB,8.23761029802261e+01°)
5.80116965193038e+05	(3.80649950305201e+00dB,8.22886416428419e+01°)
5.82117365073014e+05	(3.77593548960327e+00dB,8.22014057972833e+01°)
5.84117764952990e+05	(3.74546218413874e+00dB,8.21143934209642e+01°)
5.86118164832966e+05	(3.71507899218620e+00dB,8.20276025182463e+01°)
5.88118564712942e+05	(3.68478532451734e+00dB,8.19410311233966e+01°)
5.90118964592918e+05	(3.65458059796655e+00dB,8.18546772937238e+01°)
5.92119364472894e+05	(3.62446423419035e+00dB,8.17685391122621e+01°)
5.94119764352870e+05	(3.59443566049430e+00dB,8.16826146888367e+01°)
5.96120164232846e+05	(3.56449430890870e+00dB,8.15969021569974e+01°)
5.98120564112822e+05	(3.53463961700356e+00dB,8.15113996756873e+01°)
6.00120963992798e+05	(3.50487102808826e+00dB,8.14261054254451e+01°)
6.02121363872774e+05	(3.47518798931754e+00dB,8.13410176159976e+01°)
6.04121763752750e+05	(3.44558995376534e+00dB,8.12561344727223e+01°)
6.06122163632726e+05	(3.41607637911291e+00dB,8.11714542514998e+01°)
6.08122563512702e+05	(3.38664672790315e+00dB,8.10869752240548e+01°)
6.10122963392678e+05	(3.35730046815463e+00dB,8.10026956891773e+01°)
6.12123363272654e+05	(3.32803707179787e+00dB,8.09186139654813e+01°)
6.14123763152629e+05	(3.29885601549619e+00dB,8.08347283931090e+01°)
6.16124163032605e+05	(3.26975678130417e+00dB,8.07510373346639e+01°)
6.18124562912581e+05	(3.24073885574820e+00dB,8.06675391722446e+01°)
6.20124962792557e+05	(3.21180172956778e+00dB,8.05842323081505e+01°)
6.22125362672533e+05	(3.18294489855553e+00dB,8.05011151659969e+01°)
6.24125762552509e+05	(3.15416786149145e+00dB,8.04181861897694e+01°)
6.26126162432485e+05	(3.12547012418571e+00dB,8.03354438417957e+01°)
6.28126562312461e+05	(3.09685119425087e+00dB,8.02528866031790e+01°)
6.30126962192437e+05	(3.06831058485167e+00dB,8.01705129769777e+01°)
6.32127362072413e+05	(3.03984781386471e+00dB,8.00883214817096e+01°)
6.34127761952389e+05	(3.01146240188509e+00dB,8.00063106560044e+01°)
6.36128161832365e+05	(2.98315387553503e+00dB,7.99244790564828e+01°)
6.38128561712341e+05	(2.95492176448585e+00dB,7.98428252566667e+01°)
6.40128961592317e+05	(2.92676560212159e+00dB,7.97613478479634e+01°)
6.42129361472293e+05	(2.89868492728379e+00dB,7.96800454422072e+01°)
6.44129761352269e+05	(2.87067928090481e+00dB,7.95989166623684e+01°)
6.46130161232245e+05	(2.84274820939325e+00dB,7.95179601550677e+01°)
6.48130561112221e+05	(2.81489126302178e+00dB,7.94371745767686e+01°)
6.50130960992196e+05	(2.78710799489283e+00dB,7.93565586060439e+01°)
6.52131360872172e+05	(2.75939796275723e+00dB,7.92761109334136e+01°)
6.54131760752148e+05	(2.73176072774004e+00dB,7.91958302673238e+01°)
6.56132160632124e+05	(2.70419585525390e+00dB,7.91157153323101e+01°)
6.58132560512100e+05	(2.67670291408822e+00dB,7.90357648661882e+01°)
6.60132960392076e+05	(2.64928147609256e+00dB,7.89559776244598e+01°)
6.62133360272052e+05	(2.62193111810357e+00dB,7.88763523738748e+01°)
6.64133760152028e+05	(2.59465141862387e+00dB,7.87968878997368e+01°)
6.66134160032004e+05	(2.56744196248031e+00dB,7.87175830011859e+01°)
6.68134559911980e+05	(2.54030233489075e+00dB,7.86384364908330e+01°)
6.70134959791956e+05	(2.51323212717571e+00dB,7.85594471927495e+01°)
6.72135359671932e+05	(2.48623093213590e+00dB,7.84806139505376e+01°)
6.74135759551908e+05	(2.45929834661788e+00dB,7.84019356165683e+01°)
6.76136159431884e+05	(2.43243397165503e+00dB,7.83234110616480e+01°)
6.78136559311860e+05	(2.40563741007735e+00dB,7.82450391631346e+01°)
6.80136959191836e+05	(2.37890826971572e+00dB,7.81668188183889e+01°)
6.82137359071812e+05	(2.35224616048908e+00dB,7.80887489312505e+01°)
6.84137758951787e+05	(2.32565069598002e+00dB,7.80108284241344e+01°)
6.86138158831763e+05	(2.29912149227706e+00dB,7.79330562290217e+01°)
6.88138558711739e+05	(2.27265816973496e+00dB,7.78554312899710e+01°)
6.90138958591715e+05	(2.24626035125048e+00dB,7.77779525645919e+01°)
6.92139358471691e+05	(2.21992766228704e+00dB,7.77006190208893e+01°)
6.94139758351667e+05	(2.19365973238585e+00dB,7.76234296432094e+01°)
6.96140158231643e+05	(2.16745619371312e+00dB,7.75463834193687e+01°)
6.98140558111619e+05	(2.14131668054636e+00dB,7.74694793565194e+01°)
7.00140957991595e+05	(2.11524083204047e+00dB,7.73927164692567e+01°)
7.02141357871571e+05	(2.08922828843216e+00dB,7.73160937837299e+01°)
7.04141757751547e+05	(2.06327869392798e+00dB,7.72396103392202e+01°)
7.06142157631523e+05	(2.03739169491195e+00dB,7.71632651835406e+01°)
7.08142557511499e+05	(2.01156694114399e+00dB,7.70870573762933e+01°)
7.10142957391475e+05	(1.98580408481263e+00dB,7.70109859886015e+01°)
7.12143357271451e+05	(1.96010278168112e+00dB,7.69350500990264e+01°)
7.14143757151427e+05	(1.93446268911439e+00dB,7.68592487991891e+01°)
7.16144157031403e+05	(1.90888346777151e+00dB,7.67835811901206e+01°)
7.18144556911379e+05	(1.88336478155702e+00dB,7.67080463833155e+01°)
7.20144956791354e+05	(1.85790629595787e+00dB,7.66326434993243e+01°)
7.22145356671330e+05	(1.83250767983358e+00dB,7.65573716690323e+01°)
7.24145756551306e+05	(1.80716860447088e+00dB,7.64822300334212e+01°)
7.26146156431282e+05	(1.78188874359902e+00dB,7.64072177410425e+01°)
7.28146556311258e+05	(1.75666777420927e+00dB,7.63323339521818e+01°)
7.30146956191234e+05	(1.73150537493582e+00dB,7.62575778350826e+01°)
7.32147356071210e+05	(1.70640122672620e+00dB,7.61829485681840e+01°)
