vds	Id(M1)
Step Information: Vgs=4.363  (Step: 4/6)
0.000000000000000e+00	-4.800339e-37
5.000000000000000e-02	7.300644e-02
1.000000000000000e-01	1.374967e-01
1.500000000000000e-01	1.930711e-01
2.000000000000000e-01	2.392977e-01
2.500000000000000e-01	2.757087e-01
3.000000000000000e-01	3.017967e-01
3.500000000000000e-01	3.170091e-01
4.000000000000000e-01	3.210405e-01
4.500000000000000e-01	3.215020e-01
4.999999999999999e-01	3.219634e-01
5.499999999999999e-01	3.224247e-01
6.000000000000000e-01	3.228860e-01
6.500000000000000e-01	3.233473e-01
7.000000000000001e-01	3.238085e-01
7.500000000000001e-01	3.242697e-01
8.000000000000002e-01	3.247309e-01
8.500000000000002e-01	3.251920e-01
9.000000000000002e-01	3.256530e-01
9.500000000000003e-01	3.261141e-01
1.000000000000000e+00	3.265750e-01
1.050000000000000e+00	3.270360e-01
1.100000000000000e+00	3.274969e-01
1.150000000000000e+00	3.279577e-01
1.200000000000000e+00	3.284186e-01
1.250000000000000e+00	3.288793e-01
1.300000000000000e+00	3.293401e-01
1.350000000000001e+00	3.298008e-01
1.400000000000001e+00	3.302614e-01
1.450000000000001e+00	3.307220e-01
1.500000000000001e+00	3.311826e-01
1.550000000000001e+00	3.316431e-01
1.600000000000001e+00	3.321036e-01
1.650000000000001e+00	3.325641e-01
1.700000000000001e+00	3.330245e-01
1.750000000000001e+00	3.334848e-01
1.800000000000001e+00	3.339452e-01
1.850000000000001e+00	3.344055e-01
1.900000000000001e+00	3.348657e-01
1.950000000000001e+00	3.353259e-01
2.000000000000001e+00	3.357861e-01
2.050000000000001e+00	3.362462e-01
2.100000000000001e+00	3.367063e-01
2.150000000000000e+00	3.371663e-01
2.200000000000000e+00	3.376263e-01
2.250000000000000e+00	3.380863e-01
2.300000000000000e+00	3.385462e-01
2.350000000000000e+00	3.390061e-01
2.399999999999999e+00	3.394659e-01
2.449999999999999e+00	3.399257e-01
2.499999999999999e+00	3.403855e-01
2.549999999999999e+00	3.408452e-01
2.599999999999999e+00	3.413048e-01
2.649999999999999e+00	3.417645e-01
2.699999999999998e+00	3.422241e-01
2.749999999999998e+00	3.426836e-01
2.799999999999998e+00	3.431431e-01
2.849999999999998e+00	3.436026e-01
2.899999999999998e+00	3.440620e-01
2.949999999999998e+00	3.445214e-01
2.999999999999997e+00	3.449808e-01
3.049999999999997e+00	3.454401e-01
3.099999999999997e+00	3.458993e-01
3.149999999999997e+00	3.463586e-01
3.199999999999997e+00	3.468178e-01
3.249999999999996e+00	3.472769e-01
3.299999999999996e+00	3.477360e-01
3.349999999999996e+00	3.481951e-01
3.399999999999996e+00	3.486541e-01
3.449999999999996e+00	3.491131e-01
3.499999999999996e+00	3.495720e-01
3.549999999999995e+00	3.500309e-01
3.599999999999995e+00	3.504898e-01
