Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000399999990,,Second,Volt
,,,-0.40283998847,-0.00056,
,,,-0.40279999375,-0.00072,
,,,-0.40275999904,-0.00056,
,,,-0.40272000432,-0.00048,
,,,-0.40267997980,-0.00056,
,,,-0.40263998508,-0.00056,
,,,-0.40259999037,-0.00072,
,,,-0.40255999565,-0.00064,
,,,-0.40252000093,-0.00056,
,,,-0.40247997642,-0.00056,
,,,-0.40243998170,-0.00072,
,,,-0.40239998698,-0.00072,
,,,-0.40235999227,-0.00072,
,,,-0.40231999755,-0.00072,
,,,-0.40228000283,-0.00056,
,,,-0.40223997831,-0.00056,
,,,-0.40219998360,-0.00048,
,,,-0.40215998888,-0.00048,
,,,-0.40211999416,-0.00072,
,,,-0.40207999945,-0.00056,
,,,-0.40204000473,-0.00056,
,,,-0.40199998021,-0.00064,
,,,-0.40195998549,-0.00048,
,,,-0.40191999078,-0.00056,
,,,-0.40187999606,-0.00072,
,,,-0.40184000134,-0.00064,
,,,-0.40179997683,-0.00072,
,,,-0.40175998211,-0.00048,
,,,-0.40171998739,-0.00056,
,,,-0.40167999268,-0.00056,
,,,-0.40163999796,-0.00056,
,,,-0.40160000324,-0.00064,
,,,-0.40155997872,-0.00048,
,,,-0.40151998401,-0.00056,
,,,-0.40147998929,-0.00072,
,,,-0.40143999457,-0.00080,
,,,-0.40139999986,-0.00056,
,,,-0.40135997534,-0.00056,
,,,-0.40131998062,-0.00056,
,,,-0.40127998590,-0.00072,
,,,-0.40123999119,-0.00048,
,,,-0.40119999647,-0.00064,
,,,-0.40116000175,-0.00056,
,,,-0.40111997724,-0.00072,
,,,-0.40107998252,-0.00072,
,,,-0.40103998780,-0.00056,
,,,-0.40099999309,-0.00056,
,,,-0.40095999837,-0.00080,
,,,-0.40092000365,-0.00072,
,,,-0.40087997913,-0.00056,
,,,-0.40083998442,-0.00048,
,,,-0.40079998970,-0.00048,
,,,-0.40075999498,-0.00064,
,,,-0.40072000027,-0.00072,
