Record Length,20480,,Source,CH2
Sample Interval, CH2:0.0000199999995,,Second,Volt
Vertical Units, CH2:V,,-0.20479999483,2.62000
Vertical Scale, CH2:0.50,,-0.20477999747,2.60000
Vertical Offset, CH2:-2.22000,,-0.20476000011,2.62000
Horizontal Units,s,,-0.20473998785,2.60000
Horizontal Scale,0.0099999998,,-0.20471999049,2.60000
Model Number,SDS1072CML+,,-0.20469999313,2.62000
Serial Number,SDS10BA3163350,,-0.20467999578,2.60000
Software Version,6.01.01.16,,-0.20465999842,2.60000
,,,-0.20464000106,2.62000
,,,-0.20461998880,2.62000
,,,-0.20459999144,2.60000
,,,-0.20457999408,2.60000
,,,-0.20455999672,2.60000
,,,-0.20453999937,2.62000
,,,-0.20452000201,2.62000
,,,-0.20449998975,2.62000
,,,-0.20447999239,2.64000
,,,-0.20445999503,2.62000
,,,-0.20443999767,2.64000
,,,-0.20442000031,2.62000
,,,-0.20439998806,2.64000
,,,-0.20437999070,2.64000
,,,-0.20435999334,2.64000
,,,-0.20433999598,2.64000
,,,-0.20431999862,2.64000
,,,-0.20430000126,2.64000
,,,-0.20427998900,2.66000
,,,-0.20425999165,2.64000
,,,-0.20423999429,2.66000
,,,-0.20421999693,2.68000
,,,-0.20419999957,2.66000
,,,-0.20418000221,2.66000
,,,-0.20415998995,2.68000
,,,-0.20413999259,2.68000
,,,-0.20411999524,2.70000
,,,-0.20409999788,2.70000
,,,-0.20408000052,2.70000
,,,-0.20405998826,2.70000
,,,-0.20403999090,2.72000
,,,-0.20401999354,2.72000
,,,-0.20399999619,2.72000
,,,-0.20397999883,2.72000
,,,-0.20396000147,2.74000
,,,-0.20393998921,2.74000
,,,-0.20391999185,2.74000
,,,-0.20389999449,2.76000
,,,-0.20387999713,2.74000
,,,-0.20385999978,2.76000
,,,-0.20383998752,2.76000
,,,-0.20381999016,2.76000
,,,-0.20379999280,2.76000
,,,-0.20377999544,2.78000
,,,-0.20375999808,2.80000
,,,-0.20374000072,2.80000
,,,-0.20371998847,2.80000
,,,-0.20369999111,2.80000
,,,-0.20367999375,2.80000
,,,-0.20365999639,2.82000
,,,-0.20363999903,2.82000
,,,-0.20362000167,2.82000
,,,-0.20359998941,2.84000
,,,-0.20357999206,2.84000
,,,-0.20355999470,2.84000
,,,-0.20353999734,2.86000
,,,-0.20351999998,2.86000
,,,-0.20349998772,2.88000
,,,-0.20347999036,2.88000
,,,-0.20345999300,2.88000
,,,-0.20343999565,2.90000
,,,-0.20341999829,2.88000
,,,-0.20340000093,2.90000
,,,-0.20337998867,2.92000
,,,-0.20335999131,2.92000
,,,-0.20333999395,2.94000
,,,-0.20331999660,2.94000
,,,-0.20329999924,2.94000
,,,-0.20328000188,2.94000
,,,-0.20325998962,2.96000
,,,-0.20323999226,2.96000
,,,-0.20321999490,2.96000
,,,-0.20319999754,2.98000
,,,-0.20318000019,2.98000
,,,-0.20315998793,3.00000
,,,-0.20313999057,3.00000
,,,-0.20311999321,3.00000
,,,-0.20309999585,3.02000
