Record Length,20480,,Source,CH2
Sample Interval, CH2:0.0000199999995,,Second,Volt
Vertical Units, CH2:V,,-0.20479999483,0.04000
Vertical Scale, CH2:0.50,,-0.20477999747,0.04000
Vertical Offset, CH2:0.00,,-0.20476000011,0.04000
Horizontal Units,s,,-0.20473998785,0.04000
Horizontal Scale,0.0099999998,,-0.20471999049,0.04000
Model Number,SDS1072CML+,,-0.20469999313,0.04000
Serial Number,SDS10BA3163350,,-0.20467999578,0.04000
Software Version,6.01.01.16,,-0.20465999842,0.04000
,,,-0.20464000106,0.04000
,,,-0.20461998880,0.04000
,,,-0.20459999144,0.04000
,,,-0.20457999408,0.04000
,,,-0.20455999672,0.04000
,,,-0.20453999937,0.04000
,,,-0.20452000201,0.04000
,,,-0.20449998975,0.04000
,,,-0.20447999239,0.02000
,,,-0.20445999503,0.02000
,,,-0.20443999767,0.02000
,,,-0.20442000031,0.02000
,,,-0.20439998806,0.02000
,,,-0.20437999070,0.02000
,,,-0.20435999334,0.02000
,,,-0.20433999598,0.00
,,,-0.20431999862,0.02000
,,,-0.20430000126,0.02000
,,,-0.20427998900,0.02000
,,,-0.20425999165,0.00
,,,-0.20423999429,0.02000
,,,-0.20421999693,0.02000
,,,-0.20419999957,0.00
,,,-0.20418000221,0.00
,,,-0.20415998995,0.00
,,,-0.20413999259,0.00
,,,-0.20411999524,0.00
,,,-0.20409999788,0.02000
,,,-0.20408000052,0.00
,,,-0.20405998826,0.00
,,,-0.20403999090,-0.02000
,,,-0.20401999354,0.00
,,,-0.20399999619,-0.02000
,,,-0.20397999883,-0.02000
,,,-0.20396000147,0.00
,,,-0.20393998921,-0.02000
,,,-0.20391999185,0.00
,,,-0.20389999449,0.00
,,,-0.20387999713,0.00
,,,-0.20385999978,-0.02000
,,,-0.20383998752,-0.02000
,,,-0.20381999016,-0.02000
,,,-0.20379999280,-0.02000
,,,-0.20377999544,-0.02000
,,,-0.20375999808,-0.02000
,,,-0.20374000072,-0.02000
,,,-0.20371998847,-0.02000
,,,-0.20369999111,-0.02000
,,,-0.20367999375,-0.02000
,,,-0.20365999639,-0.02000
,,,-0.20363999903,-0.04000
,,,-0.20362000167,-0.02000
,,,-0.20359998941,-0.02000
,,,-0.20357999206,-0.02000
,,,-0.20355999470,-0.04000
,,,-0.20353999734,-0.04000
,,,-0.20351999998,-0.04000
,,,-0.20349998772,-0.04000
,,,-0.20347999036,-0.04000
,,,-0.20345999300,-0.02000
,,,-0.20343999565,-0.04000
,,,-0.20341999829,-0.04000
,,,-0.20340000093,-0.04000
,,,-0.20337998867,-0.04000
,,,-0.20335999131,-0.04000
,,,-0.20333999395,-0.04000
,,,-0.20331999660,-0.04000
,,,-0.20329999924,-0.04000
,,,-0.20328000188,-0.04000
,,,-0.20325998962,-0.06000
,,,-0.20323999226,-0.04000
,,,-0.20321999490,-0.04000
,,,-0.20319999754,-0.04000
,,,-0.20318000019,-0.04000
,,,-0.20315998793,-0.04000
,,,-0.20313999057,-0.06000
,,,-0.20311999321,-0.06000
,,,-0.20309999585,-0.06000
,,,-0.20307999849,-0.06000
,,,-0.20306000113,-0.06000
,,,-0.20303998888,-0.06000
,,,-0.20301999152,-0.06000
,,,-0.20299999416,-0.06000
,,,-0.20297999680,-0.06000
,,,-0.20295999944,-0.08000
,,,-0.20294000208,-0.06000
,,,-0.20291998982,-0.06000
,,,-0.20289999247,-0.06000
,,,-0.20287999511,-0.06000
,,,-0.20285999775,-0.08000
,,,-0.20284000039,-0.06000
,,,-0.20281998813,-0.08000
,,,-0.20279999077,-0.08000
,,,-0.20277999341,-0.06000
,,,-0.20275999606,-0.08000
,,,-0.20273999870,-0.08000
,,,-0.20272000134,-0.08000
,,,-0.20269998908,-0.08000
,,,-0.20267999172,-0.08000
,,,-0.20265999436,-0.08000
,,,-0.20263999701,-0.08000
,,,-0.20261999965,-0.08000
,,,-0.20260000229,-0.08000
,,,-0.20257999003,-0.08000
,,,-0.20255999267,-0.08000
,,,-0.20253999531,-0.08000
,,,-0.20251999795,-0.10000
,,,-0.20250000060,-0.08000
,,,-0.20247998834,-0.10000
,,,-0.20245999098,-0.10000
,,,-0.20243999362,-0.10000
,,,-0.20241999626,-0.10000
,,,-0.20239999890,-0.08000
,,,-0.20238000154,-0.10000
,,,-0.20235998929,-0.10000
,,,-0.20233999193,-0.10000
,,,-0.20231999457,-0.10000
,,,-0.20229999721,-0.10000
,,,-0.20227999985,-0.12000
,,,-0.20225998759,-0.10000
,,,-0.20223999023,-0.12000
,,,-0.20221999288,-0.10000
,,,-0.20219999552,-0.10000
,,,-0.20217999816,-0.10000
,,,-0.20216000080,-0.10000
,,,-0.20213998854,-0.10000
,,,-0.20211999118,-0.10000
,,,-0.20209999382,-0.10000
,,,-0.20207999647,-0.10000
