Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000002000000 CH2:0.0000002000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00204799999,-0.04800,10.40000
Vertical Scale,CH1:0.20 CH2:5.00,,-0.00204779999,-0.04800,10.40000
Vertical Offset,CH1:0.00 CH2:0.00,,-0.00204759999,-0.04800,10.40000
Horizontal Units,s,,-0.00204739999,-0.04800,10.40000
Horizontal Scale,0.0001000000,,-0.00204719999,-0.04000,10.40000
Model Number,SDS1072CML+,,-0.00204699999,-0.03200,10.40000
Serial Number,SDS10BA3163350,,-0.00204679999,-0.04000,10.40000
Software Version,6.01.01.16,,-0.00204659998,-0.04000,10.40000
,,,-0.00204639998,-0.04800,10.40000
,,,-0.00204619998,-0.04000,10.40000
,,,-0.00204599998,-0.04000,10.40000
,,,-0.00204579998,-0.04800,10.40000
,,,-0.00204559998,-0.04000,10.40000
,,,-0.00204539998,-0.04000,10.40000
,,,-0.00204519997,-0.03200,10.40000
,,,-0.00204499997,-0.03200,10.40000
,,,-0.00204479997,-0.04000,10.40000
,,,-0.00204459997,-0.03200,10.40000
,,,-0.00204439997,-0.03200,10.40000
,,,-0.00204419997,-0.03200,10.40000
,,,-0.00204399996,-0.03200,10.40000
,,,-0.00204379996,-0.04000,10.40000
,,,-0.00204359996,-0.03200,10.40000
,,,-0.00204339996,-0.03200,10.40000
,,,-0.00204319996,-0.03200,10.40000
,,,-0.00204299996,-0.03200,10.40000
,,,-0.00204279996,-0.03200,10.40000
,,,-0.00204259995,-0.03200,10.40000
,,,-0.00204239995,-0.03200,10.40000
,,,-0.00204219995,-0.03200,10.40000
,,,-0.00204199995,-0.03200,10.40000
,,,-0.00204179995,-0.03200,10.40000
,,,-0.00204159995,-0.03200,10.40000
,,,-0.00204139994,-0.03200,10.40000
,,,-0.00204119994,-0.03200,10.40000
,,,-0.00204099994,-0.03200,10.40000
,,,-0.00204079994,-0.03200,10.40000
,,,-0.00204059994,-0.03200,10.40000
,,,-0.00204039994,-0.03200,10.40000
,,,-0.00204019994,-0.03200,10.40000
,,,-0.00203999993,-0.03200,10.40000
,,,-0.00203979993,-0.03200,10.40000
,,,-0.00203959993,-0.03200,10.40000
,,,-0.00203939993,-0.03200,10.40000
,,,-0.00203919993,-0.03200,10.40000
,,,-0.00203899993,-0.03200,10.40000
,,,-0.00203879992,-0.02400,10.40000
,,,-0.00203859992,-0.03200,10.40000
,,,-0.00203839992,-0.03200,10.40000
,,,-0.00203819992,-0.03200,10.40000
,,,-0.00203799992,-0.02400,10.40000
,,,-0.00203779992,-0.02400,10.40000
,,,-0.00203759992,-0.03200,10.40000
,,,-0.00203739991,-0.02400,10.40000
,,,-0.00203719991,-0.03200,10.40000
,,,-0.00203699991,-0.02400,10.40000
,,,-0.00203679991,-0.02400,10.40000
,,,-0.00203659991,-0.02400,10.40000
,,,-0.00203640014,-0.03200,10.40000
,,,-0.00203620014,-0.02400,10.40000
,,,-0.00203600014,-0.02400,10.40000
,,,-0.00203580013,-0.02400,10.40000
,,,-0.00203560013,-0.02400,10.40000
,,,-0.00203540013,-0.02400,10.40000
,,,-0.00203520013,-0.02400,10.40000
,,,-0.00203500013,-0.02400,10.40000
,,,-0.00203480013,-0.02400,10.40000
,,,-0.00203460013,-0.02400,10.40000
,,,-0.00203440012,-0.02400,10.40000
,,,-0.00203420012,-0.02400,10.40000
,,,-0.00203400012,-0.02400,10.40000
,,,-0.00203380012,-0.02400,10.40000
,,,-0.00203360012,-0.02400,10.40000
,,,-0.00203340012,-0.02400,10.40000
,,,-0.00203320011,-0.02400,10.40000
,,,-0.00203300011,-0.02400,10.40000
,,,-0.00203280011,-0.02400,10.40000
,,,-0.00203260011,-0.02400,10.40000
,,,-0.00203240011,-0.02400,10.40000
,,,-0.00203220011,-0.01600,10.40000
,,,-0.00203200011,-0.02400,10.40000
,,,-0.00203180010,-0.01600,10.40000
,,,-0.00203160010,-0.02400,10.40000
,,,-0.00203140010,-0.02400,10.40000
,,,-0.00203120010,-0.02400,10.40000
,,,-0.00203100010,-0.01600,10.40000
,,,-0.00203080010,-0.02400,10.40000
,,,-0.00203060010,-0.01600,10.40000
,,,-0.00203040009,-0.02400,10.40000
,,,-0.00203020009,-0.01600,10.40000
,,,-0.00203000009,-0.02400,10.40000
,,,-0.00202980009,-0.02400,10.40000
,,,-0.00202960009,-0.01600,10.40000
,,,-0.00202940009,-0.02400,10.40000
,,,-0.00202920008,-0.02400,10.40000
,,,-0.00202900008,-0.02400,10.40000
,,,-0.00202880008,-0.02400,10.40000
,,,-0.00202860008,-0.02400,10.40000
,,,-0.00202840008,-0.02400,10.40000
,,,-0.00202820008,-0.01600,10.40000
,,,-0.00202800008,-0.01600,10.40000
,,,-0.00202780007,-0.02400,10.40000
,,,-0.00202760007,-0.01600,10.40000
,,,-0.00202740007,-0.01600,10.40000
,,,-0.00202720007,-0.01600,10.40000
,,,-0.00202700007,-0.01600,10.40000
,,,-0.00202680007,-0.01600,10.40000
,,,-0.00202660006,-0.02400,10.40000
,,,-0.00202640006,-0.01600,10.40000
,,,-0.00202620006,-0.01600,10.40000
,,,-0.00202600006,-0.01600,10.40000
,,,-0.00202580006,-0.01600,10.40000
,,,-0.00202560006,-0.01600,10.40000
,,,-0.00202540006,-0.01600,10.40000
,,,-0.00202520005,-0.01600,10.40000
,,,-0.00202500005,-0.01600,10.40000
,,,-0.00202480005,-0.01600,10.40000
,,,-0.00202460005,-0.01600,10.40000
,,,-0.00202440005,-0.01600,10.40000
,,,-0.00202420005,-0.01600,10.40000
,,,-0.00202400004,-0.01600,10.40000
,,,-0.00202380004,-0.01600,10.40000
,,,-0.00202360004,-0.01600,10.40000
,,,-0.00202340004,-0.01600,10.40000
,,,-0.00202320004,-0.01600,10.40000
,,,-0.00202300004,-0.01600,10.40000
,,,-0.00202280004,-0.01600,10.40000
,,,-0.00202260003,-0.00800,10.40000
,,,-0.00202240003,-0.01600,10.40000
,,,-0.00202220003,-0.01600,10.40000
,,,-0.00202200003,-0.00800,10.40000
,,,-0.00202180003,-0.01600,10.40000
,,,-0.00202160003,-0.01600,10.40000
,,,-0.00202140003,-0.01600,10.40000
,,,-0.00202120002,-0.01600,10.40000
,,,-0.00202100002,-0.01600,10.40000
,,,-0.00202080002,-0.01600,10.40000
,,,-0.00202060002,-0.01600,10.40000
,,,-0.00202040002,-0.00800,10.40000
,,,-0.00202020002,-0.01600,10.40000
,,,-0.00202000001,-0.00800,10.40000
