time	V(v0)
0.000000000000000e+00	3.674582e-05
1.000000000000000e-12	8.800979e-04
9.587971260336093e-09	8.667849e-04
1.917494252067219e-08	8.491077e-04
2.876191378100828e-08	8.270665e-04
3.834888504134437e-08	8.006612e-04
4.793585630168047e-08	7.698918e-04
5.752282756201656e-08	7.347583e-04
6.710979882235264e-08	6.952607e-04
9.891857972861340e-08	5.884902e-04
1.484444369081317e-07	4.481720e-04
2.118963551868018e-07	3.182856e-04
3.118963551868018e-07	1.889849e-04
4.118963551868018e-07	1.150445e-04
5.118963551868018e-07	7.688236e-05
6.118963551868018e-07	5.718758e-05
8.118963551868018e-07	4.179022e-05
1.440467783758230e-06	3.943058e-05
2.069039212329659e-06	3.772150e-05
2.697610640901087e-06	3.666300e-05
3.326182069472516e-06	3.625507e-05
3.954753498043944e-06	3.649772e-05
4.583324926615373e-06	3.739093e-05
5.211896355186799e-06	3.893472e-05
1.641189635518697e-05	6.800948e-05
2.761189635518715e-05	1.192997e-04
3.881189635518732e-05	1.928054e-04
5.001189635518750e-05	2.885266e-04
6.121189635518767e-05	4.064633e-04
7.241189635518784e-05	5.466154e-04
8.361189635518799e-05	7.089830e-04
9.941189635518837e-05	9.635259e-04
1.109404677837601e-04	1.172423e-03
1.224690392123318e-04	1.394850e-03
1.339976106409035e-04	1.630805e-03
1.455261820694752e-04	1.880291e-03
1.570547534980469e-04	2.143305e-03
1.685833249266186e-04	2.419849e-03
1.801118963551903e-04	2.709922e-03
1.831976106409047e-04	2.788726e-03
1.862833249266190e-04	2.868210e-03
1.893690392123334e-04	2.948374e-03
1.924547534980478e-04	3.029219e-03
1.955404677837621e-04	3.110745e-03
1.986261820694765e-04	3.192951e-03
2.017118963551908e-04	3.275837e-03
2.018118963551908e-04	3.278533e-03
2.143261820694769e-04	3.622981e-03
2.268404677837629e-04	3.974643e-03
2.393547534980489e-04	4.333519e-03
2.518690392123349e-04	4.699609e-03
2.643833249266210e-04	5.072913e-03
2.768976106409070e-04	5.453432e-03
2.894118963551930e-04	5.841164e-03
3.042118963551933e-04	6.303188e-03
3.188261820694794e-04	6.766670e-03
3.334404677837655e-04	7.232255e-03
3.480547534980516e-04	7.699944e-03
3.626690392123376e-04	8.169736e-03
3.772833249266237e-04	8.641631e-03
3.918976106409098e-04	9.115629e-03
4.065118963551958e-04	9.591731e-03
4.066118963551958e-04	9.594975e-03
4.212261820694803e-04	1.006996e-02
4.358404677837648e-04	1.054270e-02
4.504547534980493e-04	1.101317e-02
4.650690392123337e-04	1.148139e-02
4.796833249266182e-04	1.194736e-02
4.942976106409027e-04	1.241107e-02
5.089118963551871e-04	1.287252e-02
5.090118963551871e-04	1.287566e-02
5.236261820694652e-04	1.333289e-02
5.382404677837434e-04	1.378538e-02
5.528547534980215e-04	1.423313e-02
5.674690392122997e-04	1.467613e-02
5.820833249265779e-04	1.511439e-02
5.966976106408560e-04	1.554791e-02
6.113118963551341e-04	1.597668e-02
6.114118963551341e-04	1.597959e-02
6.260261820694122e-04	1.640251e-02
6.406404677836904e-04	1.681944e-02
6.552547534979685e-04	1.723039e-02
6.698690392122466e-04	1.763535e-02
6.844833249265249e-04	1.803433e-02
6.990976106408030e-04	1.842733e-02
7.137118963550811e-04	1.881434e-02
7.138118963550810e-04	1.881697e-02
7.284261820693592e-04	1.919745e-02
7.430404677836374e-04	1.957151e-02
7.576547534979155e-04	1.993917e-02
7.722690392121936e-04	2.030041e-02
7.868833249264718e-04	2.065523e-02
8.014976106407500e-04	2.100364e-02
8.161118963550281e-04	2.134564e-02
8.162118963550280e-04	2.134796e-02
9.186118963549750e-04	2.356465e-02
1.021011896354970e-03	2.547863e-02
1.123411896355028e-03	2.711250e-02
1.225811896355086e-03	2.849429e-02
1.328211896355144e-03	2.965383e-02
1.430611896355202e-03	3.062046e-02
1.533011896355260e-03	3.142171e-02
1.635411896355318e-03	3.208260e-02
1.737811896355376e-03	3.262537e-02
1.840211896355434e-03	3.306943e-02
1.942611896355492e-03	3.343147e-02
2.045011896355351e-03	3.372575e-02
2.147411896355187e-03	3.396429e-02
2.249811896355023e-03	3.415714e-02
2.352211896354859e-03	3.431271e-02
2.454611896354695e-03	3.443794e-02
2.557011896354531e-03	3.453853e-02
2.659411896354367e-03	3.461921e-02
2.761811896354203e-03	3.468379e-02
2.864211896354038e-03	3.473542e-02
2.966611896353874e-03	3.477662e-02
3.069011896353710e-03	3.480946e-02
3.171411896353546e-03	3.483560e-02
3.273811896353382e-03	3.485638e-02
3.376211896353218e-03	3.487289e-02
3.478611896353054e-03	3.488598e-02
3.581011896352890e-03	3.489635e-02
3.683411896352726e-03	3.490457e-02
3.785811896352562e-03	3.491106e-02
3.888211896352398e-03	3.491620e-02
3.990611896352600e-03	3.492025e-02
4.093011896352880e-03	3.492345e-02
4.195411896353160e-03	3.492597e-02
4.297811896353440e-03	3.492795e-02
4.400211896353720e-03	3.492951e-02
4.502611896354000e-03	3.493074e-02
4.605011896354280e-03	3.493171e-02
4.707411896354560e-03	3.493247e-02
4.809811896354840e-03	3.493306e-02
4.912211896355120e-03	3.493353e-02
5.014611896355400e-03	3.493389e-02
5.117011896355680e-03	3.493418e-02
5.219411896355960e-03	3.493441e-02
5.321811896356240e-03	3.493458e-02
5.424211896356520e-03	3.493472e-02
5.526611896356800e-03	3.493483e-02
5.629011896357080e-03	3.493491e-02
5.731411896357360e-03	3.493498e-02
5.833811896357640e-03	3.493503e-02
5.936211896357920e-03	3.493507e-02
6.038611896358200e-03	3.493510e-02
6.141011896358481e-03	3.493512e-02
6.243411896358761e-03	3.493514e-02
6.345811896359041e-03	3.493516e-02
6.448211896359321e-03	3.493517e-02
6.550611896359601e-03	3.493518e-02
6.653011896359881e-03	3.493519e-02
6.755411896360161e-03	3.493519e-02
6.857811896360441e-03	3.493519e-02
6.960211896360721e-03	3.493520e-02
