time	V(v0)
4.358354306260870e-04	1.276504e-02
4.504497163403715e-04	1.331095e-02
4.650640020546559e-04	1.385198e-02
4.796782877689404e-04	1.438813e-02
4.942925734832249e-04	1.491938e-02
5.089068591975093e-04	1.544576e-02
5.090068591975093e-04	1.544933e-02
5.236211449117874e-04	1.596843e-02
5.382354306260656e-04	1.647984e-02
5.528497163403437e-04	1.698356e-02
5.674640020546218e-04	1.747960e-02
5.820782877689001e-04	1.796795e-02
5.966925734831782e-04	1.844861e-02
6.113068591974563e-04	1.892159e-02
6.114068591974562e-04	1.892479e-02
6.260211449117343e-04	1.938885e-02
6.406354306260126e-04	1.984408e-02
6.552497163402907e-04	2.029050e-02
6.698640020545688e-04	2.072809e-02
6.844782877688470e-04	2.115686e-02
6.990925734831251e-04	2.157681e-02
7.137068591974033e-04	2.198794e-02
7.138068591974032e-04	2.199072e-02
7.284211449116813e-04	2.239255e-02
7.430354306259596e-04	2.278548e-02
7.576497163402377e-04	2.316949e-02
7.722640020545158e-04	2.354459e-02
7.868782877687940e-04	2.391078e-02
8.014925734830721e-04	2.426807e-02
8.161068591973502e-04	2.461644e-02
8.162068591973502e-04	2.461879e-02
9.186068591972972e-04	2.682092e-02
1.021006859197292e-03	2.863172e-02
1.123406859197350e-03	3.009678e-02
1.138021144911644e-03	3.028018e-02
1.152635430625938e-03	3.045804e-02
1.167249716340232e-03	3.063035e-02
1.181864002054526e-03	3.079711e-02
1.196478287768820e-03	3.095833e-02
1.211092573483114e-03	3.111400e-02
1.225706859197408e-03	3.126412e-02
1.225806859197408e-03	3.126513e-02
1.240421144911702e-03	3.141019e-02
1.255035430625996e-03	3.155064e-02
1.269649716340290e-03	3.168648e-02
1.284264002054584e-03	3.181773e-02
1.298878287768878e-03	3.194437e-02
1.313492573483172e-03	3.206641e-02
1.328106859197466e-03	3.218384e-02
1.328206859197466e-03	3.218463e-02
1.342821144911760e-03	3.229791e-02
1.357435430626054e-03	3.240743e-02
1.372049716340348e-03	3.251320e-02
1.386664002054642e-03	3.261521e-02
1.401278287768936e-03	3.271347e-02
1.415892573483230e-03	3.280797e-02
1.430506859197524e-03	3.289872e-02
1.430606859197524e-03	3.289934e-02
1.445221144911818e-03	3.298673e-02
1.459835430626112e-03	3.307111e-02
1.474449716340406e-03	3.315247e-02
1.489064002054700e-03	3.323082e-02
1.503678287768994e-03	3.330615e-02
1.518292573483288e-03	3.337846e-02
1.532906859197582e-03	3.344776e-02
1.533006859197582e-03	3.344823e-02
1.547621144911876e-03	3.351486e-02
1.562235430626170e-03	3.357910e-02
1.576849716340464e-03	3.364095e-02
1.591464002054758e-03	3.370041e-02
1.606078287769052e-03	3.375749e-02
1.620692573483346e-03	3.381217e-02
1.635306859197640e-03	3.386446e-02
1.635406859197640e-03	3.386481e-02
1.650021144911934e-03	3.391501e-02
1.664635430626228e-03	3.396334e-02
1.679249716340522e-03	3.400980e-02
1.693864002054816e-03	3.405439e-02
1.708478287769110e-03	3.409711e-02
1.723092573483404e-03	3.413797e-02
1.737706859197698e-03	3.417695e-02
1.737806859197698e-03	3.417721e-02
1.752421144911992e-03	3.421457e-02
1.767035430626286e-03	3.425048e-02
1.781649716340580e-03	3.428495e-02
1.796264002054874e-03	3.431797e-02
1.810878287769168e-03	3.434955e-02
1.825492573483462e-03	3.437969e-02
1.840106859197756e-03	3.440838e-02
1.840206859197756e-03	3.440858e-02
1.854821144912050e-03	3.443602e-02
1.869435430626344e-03	3.446236e-02
1.884049716340638e-03	3.448760e-02
1.898664002054932e-03	3.451174e-02
1.913278287769226e-03	3.453477e-02
1.927892573483520e-03	3.455670e-02
1.942506859197814e-03	3.457753e-02
1.942606859197814e-03	3.457768e-02
1.957221144912080e-03	3.459756e-02
1.971835430626346e-03	3.461661e-02
1.986449716340611e-03	3.463483e-02
2.001064002054877e-03	3.465222e-02
2.015678287769142e-03	3.466878e-02
2.030292573483408e-03	3.468450e-02
2.044906859197673e-03	3.469940e-02
2.045006859197673e-03	3.469949e-02
2.059621144911936e-03	3.471368e-02
2.074235430626198e-03	3.472724e-02
2.088849716340460e-03	3.474019e-02
2.103464002054722e-03	3.475251e-02
2.118078287768985e-03	3.476422e-02
2.132692573483247e-03	3.477530e-02
2.147306859197509e-03	3.478577e-02
2.147406859197509e-03	3.478584e-02
2.249806859197345e-03	3.484589e-02
2.352206859197181e-03	3.488671e-02
2.454606859197017e-03	3.491368e-02
2.557006859196853e-03	3.493081e-02
2.659406859196689e-03	3.494110e-02
2.761806859196525e-03	3.494674e-02
2.864206859196361e-03	3.494928e-02
2.966606859196197e-03	3.494987e-02
3.069006859196033e-03	3.494928e-02
3.171406859195869e-03	3.494803e-02
3.273806859195705e-03	3.494649e-02
3.376206859195541e-03	3.494487e-02
3.478606859195377e-03	3.494332e-02
3.581006859195213e-03	3.494190e-02
3.683406859195049e-03	3.494065e-02
3.785806859194885e-03	3.493959e-02
3.888206859194721e-03	3.493870e-02
3.990606859194923e-03	3.493797e-02
4.093006859195203e-03	3.493738e-02
4.195406859195483e-03	3.493691e-02
4.297806859195763e-03	3.493654e-02
4.400206859196043e-03	3.493625e-02
4.502606859196323e-03	3.493603e-02
4.605006859196603e-03	3.493587e-02
4.707406859196883e-03	3.493574e-02
4.809806859197163e-03	3.493565e-02
4.912206859197443e-03	3.493558e-02
5.014606859197723e-03	3.493553e-02
5.117006859198003e-03	3.493550e-02
5.219406859198283e-03	3.493547e-02
5.321806859198563e-03	3.493546e-02
5.424206859198843e-03	3.493545e-02
5.526606859199123e-03	3.493544e-02
5.629006859199403e-03	3.493544e-02
5.731406859199683e-03	3.493544e-02
5.833806859199963e-03	3.493544e-02
5.936206859200243e-03	3.493544e-02
6.038606859200523e-03	3.493544e-02
6.141006859200803e-03	3.493544e-02
6.243406859201084e-03	3.493544e-02
6.345806859201364e-03	3.493544e-02
6.448206859201644e-03	3.493544e-02
6.550606859201924e-03	3.493544e-02
6.653006859202204e-03	3.493544e-02
6.755406859202484e-03	3.493544e-02
6.857806859202764e-03	3.493544e-02
6.960206859203044e-03	3.493544e-02
7.062606859203324e-03	3.493544e-02
7.165006859203604e-03	3.493544e-02
7.267406859203884e-03	3.493544e-02
7.369806859204164e-03	3.493544e-02
7.472206859204444e-03	3.493544e-02
7.574606859204724e-03	3.493544e-02
7.677006859205004e-03	3.493544e-02
7.779406859205284e-03	3.493544e-02
7.881806859204962e-03	3.493544e-02
7.984206859204354e-03	3.493544e-02
8.086606859203746e-03	3.493544e-02
8.189006859203138e-03	3.493544e-02
8.291406859202530e-03	3.493544e-02
8.393806859201922e-03	3.493544e-02
8.496206859201313e-03	3.493544e-02
8.598606859200705e-03	3.493544e-02
8.701006859200097e-03	3.493544e-02
8.803406859199489e-03	3.493544e-02
8.905806859198881e-03	3.493544e-02
9.008206859198273e-03	3.493544e-02
9.110606859197665e-03	3.493544e-02
9.213006859197057e-03	3.493544e-02
9.315406859196448e-03	3.493544e-02
9.417806859195840e-03	3.493544e-02
9.520206859195232e-03	3.493544e-02
9.622606859194624e-03	3.493544e-02
9.725006859194016e-03	3.493544e-02
9.827406859193408e-03	3.493544e-02
9.929806859192800e-03	3.493544e-02
1.003220685919219e-02	3.493544e-02
1.013460685919158e-02	3.493544e-02
1.023700685919098e-02	3.493544e-02
1.033940685919037e-02	3.493544e-02
1.044180685918976e-02	3.493544e-02
1.054420685918915e-02	3.493544e-02
1.064660685918854e-02	3.493544e-02
1.074900685918793e-02	3.493544e-02
1.085140685918733e-02	3.493544e-02
1.095380685918672e-02	3.493544e-02
1.105620685918611e-02	3.493544e-02
1.115860685918550e-02	3.493544e-02
1.126100685918489e-02	3.493544e-02
1.136340685918429e-02	3.493544e-02
1.146580685918368e-02	3.493544e-02
1.156820685918307e-02	3.493544e-02
1.167060685918246e-02	3.493544e-02
1.177300685918185e-02	3.493544e-02
1.187540685918125e-02	3.493544e-02
1.197780685918064e-02	3.493544e-02
1.208020685918003e-02	3.493544e-02
1.218260685917942e-02	3.493544e-02
1.228500685917881e-02	3.493544e-02
1.238740685917820e-02	3.493544e-02
1.248980685917760e-02	3.493544e-02
1.259220685917699e-02	3.493544e-02
1.269460685917638e-02	3.493544e-02
1.279700685917577e-02	3.493544e-02
1.289940685917516e-02	3.493544e-02
1.300180685917456e-02	3.493544e-02
1.310420685917395e-02	3.493544e-02
1.320660685917334e-02	3.493544e-02
1.330900685917273e-02	3.493544e-02
1.341140685917212e-02	3.493544e-02
1.351380685917151e-02	3.493544e-02
1.361620685917091e-02	3.493544e-02
1.371860685917030e-02	3.493544e-02
1.382100685916969e-02	3.493544e-02
1.392340685916908e-02	3.493544e-02
1.402580685916847e-02	3.493544e-02
1.412820685916787e-02	3.493544e-02
1.423060685916726e-02	3.493544e-02
1.433300685916665e-02	3.493544e-02
1.443540685916604e-02	3.493544e-02
1.453780685916543e-02	3.493544e-02
1.464020685916483e-02	3.493544e-02
1.474260685916422e-02	3.493544e-02
1.484500685916361e-02	3.493544e-02
1.494740685916300e-02	3.493544e-02
1.504980685916239e-02	3.493544e-02
1.515220685916178e-02	3.493544e-02
1.525460685916118e-02	3.493544e-02
1.535700685916057e-02	3.493544e-02
1.545940685915996e-02	3.493544e-02
1.556180685915935e-02	3.493544e-02
1.566420685915874e-02	3.493544e-02
1.576660685915814e-02	3.493544e-02
1.586900685915753e-02	3.493544e-02
1.597140685915692e-02	3.493544e-02
1.607380685915631e-02	3.493544e-02
1.617620685915570e-02	3.493544e-02
1.627860685915510e-02	3.493544e-02
1.638100685915449e-02	3.493544e-02
1.648340685915388e-02	3.493544e-02
1.658580685915327e-02	3.493544e-02
1.668820685915266e-02	3.493544e-02
1.679060685915205e-02	3.493544e-02
1.689300685915145e-02	3.493544e-02
1.699540685915084e-02	3.493544e-02
1.709780685915023e-02	3.493544e-02
1.720020685914962e-02	3.493544e-02
1.730260685914901e-02	3.493544e-02
1.740500685914841e-02	3.493544e-02
1.750740685914780e-02	3.493544e-02
1.760980685914719e-02	3.493544e-02
1.771220685914658e-02	3.493544e-02
1.781460685914597e-02	3.493544e-02
1.791700685914537e-02	3.493544e-02
1.801940685914476e-02	3.493544e-02
1.812180685914415e-02	3.493544e-02
1.822420685914354e-02	3.493544e-02
1.832660685914293e-02	3.493544e-02
1.842900685914232e-02	3.493544e-02
1.853140685914172e-02	3.493544e-02
1.863380685914111e-02	3.493544e-02
1.873620685914050e-02	3.493544e-02
1.883860685913989e-02	3.493544e-02
1.894100685913928e-02	3.493544e-02
1.904340685913868e-02	3.493544e-02
1.914580685913807e-02	3.493544e-02
1.924820685913746e-02	3.493544e-02
1.935060685913685e-02	3.493544e-02
1.945300685913624e-02	3.493544e-02
1.955540685913564e-02	3.493544e-02
1.965780685913503e-02	3.493544e-02
1.976020685913442e-02	3.493544e-02
1.986260685913381e-02	3.493544e-02
1.996500685913320e-02	3.493544e-02
1.999990685913300e-02	3.493544e-02
2.000000000000000e-02	3.493544e-02
