vce	Ie(Q1)
-2.960000000000022e+00	1.600046e-03
-2.950000000000022e+00	1.599625e-03
-2.940000000000023e+00	1.599205e-03
-2.930000000000023e+00	1.598784e-03
-2.920000000000023e+00	1.598363e-03
-2.910000000000023e+00	1.597943e-03
-2.900000000000023e+00	1.597522e-03
-2.890000000000024e+00	1.597102e-03
-2.880000000000024e+00	1.596681e-03
-2.870000000000024e+00	1.596261e-03
-2.860000000000024e+00	1.595840e-03
-2.850000000000025e+00	1.595419e-03
-2.840000000000025e+00	1.594999e-03
-2.830000000000025e+00	1.594578e-03
-2.820000000000025e+00	1.594158e-03
-2.810000000000025e+00	1.593737e-03
-2.800000000000026e+00	1.593317e-03
-2.790000000000026e+00	1.592896e-03
-2.780000000000026e+00	1.592475e-03
-2.770000000000026e+00	1.592055e-03
-2.760000000000026e+00	1.591634e-03
-2.750000000000027e+00	1.591214e-03
-2.740000000000027e+00	1.590793e-03
-2.730000000000027e+00	1.590373e-03
-2.720000000000027e+00	1.589952e-03
-2.710000000000027e+00	1.589531e-03
-2.700000000000028e+00	1.589111e-03
-2.690000000000028e+00	1.588690e-03
-2.680000000000028e+00	1.588270e-03
-2.670000000000028e+00	1.587849e-03
-2.660000000000029e+00	1.587429e-03
-2.650000000000029e+00	1.587008e-03
-2.640000000000029e+00	1.586587e-03
-2.630000000000029e+00	1.586167e-03
-2.620000000000029e+00	1.585746e-03
-2.610000000000030e+00	1.585326e-03
-2.600000000000030e+00	1.584905e-03
-2.590000000000030e+00	1.584484e-03
-2.580000000000030e+00	1.584064e-03
-2.570000000000030e+00	1.583643e-03
-2.560000000000031e+00	1.583223e-03
-2.550000000000031e+00	1.582802e-03
-2.540000000000031e+00	1.582382e-03
-2.530000000000031e+00	1.581961e-03
-2.520000000000032e+00	1.581540e-03
-2.510000000000032e+00	1.581120e-03
-2.500000000000032e+00	1.580699e-03
-2.490000000000032e+00	1.580279e-03
-2.480000000000032e+00	1.579858e-03
-2.470000000000033e+00	1.579438e-03
-2.460000000000033e+00	1.579017e-03
-2.450000000000033e+00	1.578596e-03
-2.440000000000033e+00	1.578176e-03
