vce	Ic(Q1)
-7.900000000000416e-01	-1.497781e-03
-7.800000000000415e-01	-1.497360e-03
-7.700000000000415e-01	-1.496940e-03
-7.600000000000415e-01	-1.496519e-03
-7.500000000000415e-01	-1.496099e-03
-7.400000000000415e-01	-1.495678e-03
-7.300000000000415e-01	-1.495257e-03
-7.200000000000415e-01	-1.494837e-03
-7.100000000000415e-01	-1.494416e-03
-7.000000000000415e-01	-1.493996e-03
-6.900000000000415e-01	-1.493575e-03
-6.800000000000415e-01	-1.493155e-03
-6.700000000000415e-01	-1.492734e-03
-6.600000000000414e-01	-1.492313e-03
-6.500000000000414e-01	-1.491893e-03
-6.400000000000414e-01	-1.491472e-03
-6.300000000000414e-01	-1.491052e-03
-6.200000000000414e-01	-1.490631e-03
-6.100000000000414e-01	-1.490210e-03
-6.000000000000414e-01	-1.489790e-03
-5.900000000000414e-01	-1.489369e-03
-5.800000000000414e-01	-1.488948e-03
-5.700000000000414e-01	-1.488527e-03
-5.600000000000414e-01	-1.488106e-03
-5.500000000000413e-01	-1.487685e-03
-5.400000000000413e-01	-1.487264e-03
-5.300000000000413e-01	-1.486842e-03
-5.200000000000413e-01	-1.486421e-03
-5.100000000000413e-01	-1.485998e-03
-5.000000000000413e-01	-1.485575e-03
-4.900000000000413e-01	-1.485152e-03
-4.800000000000413e-01	-1.484727e-03
-4.700000000000413e-01	-1.484300e-03
-4.600000000000413e-01	-1.483872e-03
-4.500000000000413e-01	-1.483441e-03
-4.400000000000412e-01	-1.483006e-03
-4.300000000000412e-01	-1.482565e-03
-4.200000000000412e-01	-1.482118e-03
-4.100000000000412e-01	-1.481661e-03
-4.000000000000412e-01	-1.481191e-03
-3.900000000000412e-01	-1.480704e-03
-3.800000000000412e-01	-1.480192e-03
-3.700000000000412e-01	-1.479648e-03
-3.600000000000412e-01	-1.479060e-03
-3.500000000000412e-01	-1.478412e-03
-3.400000000000412e-01	-1.477682e-03
-3.300000000000411e-01	-1.476842e-03
-3.200000000000411e-01	-1.475851e-03
-3.100000000000411e-01	-1.474656e-03
-3.000000000000411e-01	-1.473184e-03
-2.900000000000411e-01	-1.471336e-03
-2.800000000000411e-01	-1.468979e-03
-2.700000000000411e-01	-1.465932e-03
-2.600000000000411e-01	-1.461951e-03
-2.500000000000411e-01	-1.456710e-03
-2.400000000000411e-01	-1.449772e-03
-2.300000000000411e-01	-1.440559e-03
-2.200000000000411e-01	-1.428308e-03
-2.100000000000410e-01	-1.412031e-03
-2.000000000000410e-01	-1.390471e-03
-1.900000000000410e-01	-1.362066e-03
-1.800000000000410e-01	-1.324955e-03
-1.700000000000410e-01	-1.277043e-03
-1.600000000000410e-01	-1.216180e-03
-1.500000000000410e-01	-1.140511e-03
-1.400000000000410e-01	-1.049006e-03
-1.300000000000410e-01	-9.421389e-04
-1.200000000000410e-01	-8.225070e-04
-1.100000000000410e-01	-6.950688e-04
-1.000000000000410e-01	-5.666553e-04
-9.000000000004099e-02	-4.446903e-04
-8.000000000004100e-02	-3.355340e-04
-7.000000000004100e-02	-2.431828e-04
-6.000000000004100e-02	-1.688679e-04
-5.000000000004100e-02	-1.115383e-04
-4.000000000004100e-02	-6.878331e-05
-3.000000000004099e-02	-3.771682e-05
-2.000000000004099e-02	-1.557621e-05
-1.000000000004099e-02	-1.684664e-08
0.000000000000000e+00	1.080908e-05
