vbe	Ib(Q1)
-6.099999999999999e-01	-3.477496e-05
-6.089999999999999e-01	-3.347895e-05
-6.079999999999999e-01	-3.223083e-05
-6.069999999999999e-01	-3.102886e-05
-6.059999999999999e-01	-2.987137e-05
-6.049999999999999e-01	-2.875674e-05
-6.039999999999999e-01	-2.768341e-05
-6.029999999999999e-01	-2.664988e-05
-6.019999999999999e-01	-2.565469e-05
-6.009999999999999e-01	-2.469645e-05
-5.999999999999999e-01	-2.377381e-05
-5.989999999999999e-01	-2.288546e-05
-5.979999999999999e-01	-2.203014e-05
-5.969999999999999e-01	-2.120664e-05
-5.959999999999999e-01	-2.041380e-05
-5.949999999999999e-01	-1.965048e-05
-5.939999999999999e-01	-1.891561e-05
-5.929999999999999e-01	-1.820812e-05
-5.919999999999999e-01	-1.752701e-05
-5.909999999999999e-01	-1.687131e-05
-5.899999999999999e-01	-1.624008e-05
-5.889999999999999e-01	-1.563241e-05
-5.879999999999999e-01	-1.504743e-05
-5.869999999999999e-01	-1.448430e-05
-5.859999999999999e-01	-1.394221e-05
-5.849999999999999e-01	-1.342038e-05
-5.839999999999999e-01	-1.291806e-05
-5.829999999999999e-01	-1.243453e-05
-5.819999999999999e-01	-1.196908e-05
-5.809999999999998e-01	-1.152104e-05
-5.799999999999998e-01	-1.108977e-05
-5.789999999999998e-01	-1.067464e-05
-5.779999999999998e-01	-1.027505e-05
-5.769999999999998e-01	-9.890426e-06
-5.759999999999998e-01	-9.520201e-06
-5.749999999999998e-01	-9.163844e-06
-5.739999999999998e-01	-8.820835e-06
-5.729999999999998e-01	-8.490677e-06
-5.719999999999998e-01	-8.172890e-06
-5.709999999999998e-01	-7.867012e-06
-5.699999999999998e-01	-7.572597e-06
-5.689999999999998e-01	-7.289218e-06
-5.679999999999998e-01	-7.016461e-06
-5.669999999999998e-01	-6.753929e-06
-5.659999999999998e-01	-6.501239e-06
-5.649999999999998e-01	-6.258024e-06
-5.639999999999998e-01	-6.023929e-06
-5.629999999999998e-01	-5.798611e-06
-5.619999999999998e-01	-5.581743e-06
-5.609999999999998e-01	-5.373007e-06
-5.599999999999998e-01	-5.172099e-06
-5.589999999999998e-01	-4.978726e-06
