vbe	Ic(Q1)
-7.500000000000000e-01	-3.914277e-01
-7.490000000000000e-01	-3.842807e-01
-7.480000000000000e-01	-3.771921e-01
-7.470000000000000e-01	-3.701628e-01
-7.460000000000000e-01	-3.631936e-01
-7.450000000000000e-01	-3.562856e-01
-7.440000000000000e-01	-3.494397e-01
-7.430000000000000e-01	-3.426566e-01
-7.420000000000000e-01	-3.359375e-01
-7.410000000000000e-01	-3.292831e-01
-7.400000000000000e-01	-3.226943e-01
-7.390000000000000e-01	-3.161720e-01
-7.380000000000000e-01	-3.097170e-01
-7.370000000000000e-01	-3.033301e-01
-7.360000000000000e-01	-2.970122e-01
-7.350000000000000e-01	-2.907640e-01
-7.340000000000000e-01	-2.845863e-01
-7.330000000000000e-01	-2.784798e-01
-7.320000000000000e-01	-2.724454e-01
-7.310000000000000e-01	-2.664835e-01
-7.300000000000000e-01	-2.605951e-01
-7.290000000000000e-01	-2.547807e-01
-7.280000000000000e-01	-2.490409e-01
-7.270000000000000e-01	-2.433763e-01
-7.260000000000000e-01	-2.377875e-01
-7.250000000000000e-01	-2.322750e-01
-7.240000000000000e-01	-2.268393e-01
-7.230000000000000e-01	-2.214810e-01
-7.220000000000000e-01	-2.162004e-01
-7.210000000000000e-01	-2.109979e-01
-7.200000000000000e-01	-2.058739e-01
-7.190000000000000e-01	-2.008288e-01
-7.180000000000000e-01	-1.958628e-01
-7.170000000000000e-01	-1.909761e-01
-7.160000000000000e-01	-1.861690e-01
-7.150000000000000e-01	-1.814417e-01
-7.140000000000000e-01	-1.767942e-01
-7.130000000000000e-01	-1.722268e-01
-7.120000000000000e-01	-1.677393e-01
-7.110000000000000e-01	-1.633318e-01
-7.100000000000000e-01	-1.590043e-01
-7.090000000000000e-01	-1.547567e-01
-7.080000000000000e-01	-1.505888e-01
-7.070000000000000e-01	-1.465006e-01
-7.060000000000000e-01	-1.424916e-01
-7.050000000000000e-01	-1.385618e-01
-7.040000000000000e-01	-1.347108e-01
-7.030000000000000e-01	-1.309382e-01
-7.020000000000000e-01	-1.272438e-01
-7.010000000000000e-01	-1.236269e-01
