vbe	Ie(Q1)
-7.470000000000000e-01	3.730088e-01
-7.460000000000000e-01	3.659792e-01
-7.450000000000000e-01	3.590117e-01
-7.440000000000000e-01	3.521069e-01
-7.430000000000000e-01	3.452660e-01
-7.420000000000000e-01	3.384898e-01
-7.410000000000000e-01	3.317791e-01
-7.400000000000000e-01	3.251348e-01
-7.390000000000000e-01	3.185578e-01
-7.380000000000000e-01	3.120489e-01
-7.370000000000000e-01	3.056090e-01
-7.360000000000000e-01	2.992387e-01
-7.350000000000000e-01	2.929391e-01
-7.340000000000000e-01	2.867107e-01
-7.330000000000000e-01	2.805544e-01
-7.320000000000000e-01	2.744708e-01
-7.310000000000000e-01	2.684607e-01
-7.300000000000000e-01	2.625248e-01
-7.290000000000000e-01	2.566636e-01
-7.280000000000000e-01	2.508779e-01
-7.270000000000000e-01	2.451681e-01
-7.260000000000000e-01	2.395349e-01
-7.250000000000000e-01	2.339788e-01
-7.240000000000000e-01	2.285003e-01
-7.230000000000000e-01	2.230998e-01
-7.220000000000000e-01	2.177779e-01
-7.210000000000000e-01	2.125348e-01
-7.200000000000000e-01	2.073710e-01
-7.190000000000000e-01	2.022867e-01
-7.180000000000000e-01	1.972823e-01
-7.170000000000000e-01	1.923581e-01
-7.160000000000000e-01	1.875141e-01
-7.150000000000000e-01	1.827506e-01
-7.140000000000000e-01	1.780677e-01
-7.130000000000000e-01	1.734655e-01
-7.120000000000000e-01	1.689440e-01
-7.110000000000000e-01	1.645032e-01
-7.100000000000000e-01	1.601431e-01
-7.090000000000000e-01	1.558635e-01
-7.080000000000000e-01	1.516644e-01
-7.070000000000000e-01	1.475456e-01
-7.060000000000000e-01	1.435068e-01
-7.050000000000000e-01	1.395477e-01
-7.040000000000000e-01	1.356681e-01
-7.030000000000000e-01	1.318677e-01
-7.020000000000000e-01	1.281459e-01
-7.010000000000000e-01	1.245024e-01
-7.000000000000000e-01	1.209366e-01
-6.990000000000000e-01	1.174482e-01
-6.980000000000000e-01	1.140364e-01
-6.970000000000000e-01	1.107007e-01
-6.960000000000000e-01	1.074405e-01
-6.950000000000000e-01	1.042550e-01
-6.940000000000000e-01	1.011436e-01
-6.929999999999999e-01	9.810549e-02
-6.919999999999999e-01	9.513990e-02
-6.909999999999999e-01	9.224600e-02
-6.899999999999999e-01	8.942297e-02
-6.889999999999999e-01	8.666991e-02
-6.879999999999999e-01	8.398591e-02
-6.869999999999999e-01	8.137006e-02
-6.859999999999999e-01	7.882138e-02
-6.849999999999999e-01	7.633889e-02
-6.839999999999999e-01	7.392161e-02
-6.829999999999999e-01	7.156850e-02
-6.819999999999999e-01	6.927854e-02
-6.809999999999999e-01	6.705065e-02
-6.799999999999999e-01	6.488377e-02
-6.789999999999999e-01	6.277682e-02
-6.779999999999999e-01	6.072871e-02
-6.769999999999999e-01	5.873832e-02
