vds	Id(M1)
Step Information: Vgs=4.449  (Step: 6/6)
0.000000000000000e+00	-4.800339e-37
1.800000000000000e-01	2.801960e-01
3.600000000000000e-01	4.465603e-01
5.400000000000000e-01	4.846565e-01
7.200000000000000e-01	4.871342e-01
8.999999999999999e-01	4.896115e-01
1.080000000000000e+00	4.920878e-01
1.260000000000000e+00	4.945632e-01
1.440000000000000e+00	4.970376e-01
1.620000000000000e+00	4.995109e-01
1.800000000000000e+00	5.019833e-01
1.980000000000000e+00	5.044548e-01
2.160000000000000e+00	5.069253e-01
2.340000000000000e+00	5.093948e-01
2.520000000000000e+00	5.118634e-01
2.700000000000000e+00	5.143309e-01
2.880000000000000e+00	5.167975e-01
3.060000000000000e+00	5.192631e-01
3.240000000000001e+00	5.217277e-01
3.420000000000001e+00	5.241914e-01
3.600000000000001e+00	5.266541e-01
3.780000000000001e+00	5.291159e-01
3.960000000000001e+00	5.315767e-01
4.140000000000001e+00	5.340365e-01
4.320000000000001e+00	5.364954e-01
4.500000000000001e+00	5.389532e-01
4.680000000000001e+00	5.414102e-01
4.860000000000000e+00	5.438662e-01
5.040000000000000e+00	5.463212e-01
5.220000000000000e+00	5.487752e-01
5.399999999999999e+00	5.512283e-01
5.579999999999999e+00	5.536804e-01
5.759999999999999e+00	5.561315e-01
5.939999999999999e+00	5.585818e-01
6.119999999999998e+00	5.610310e-01
6.299999999999998e+00	5.634793e-01
6.479999999999998e+00	5.659267e-01
6.659999999999997e+00	5.683730e-01
6.839999999999997e+00	5.708184e-01
7.019999999999997e+00	5.732629e-01
7.199999999999997e+00	5.757064e-01
7.379999999999996e+00	5.781490e-01
7.559999999999996e+00	5.805906e-01
7.739999999999996e+00	5.830313e-01
7.919999999999995e+00	5.854710e-01
8.099999999999996e+00	5.879098e-01
8.279999999999996e+00	5.903476e-01
8.459999999999996e+00	5.927845e-01
8.639999999999995e+00	5.952204e-01
8.819999999999995e+00	5.976554e-01
9.000000000000000e+00	6.000894e-01
