Freq.	V(n001)
1.58489319246112e+08	(1.35814793059138e+01dB,1.16106950462563e+02°)
1.99526231496889e+08	(1.19110258097334e+01dB,1.11143032566156e+02°)
2.51188643150959e+08	(1.01326711233741e+01dB,1.06909888930350e+02°)
3.16227766016840e+08	(8.27868101550140e+00dB,1.03359262318144e+02°)
3.98107170553499e+08	(6.37357256232595e+00dB,1.00403630441511e+02°)
5.01187233627275e+08	(4.43480936549094e+00dB,9.79412138532603e+01°)
6.30957344480197e+08	(2.47434325087747e+00dB,9.58704198503322e+01°)
7.94328234724286e+08	(5.00186186773909e-01dB,9.40963651535858e+01°)
1.00000000000001e+09	(-1.48229613244852e+00dB,9.25325381451172e+01°)
1.25892541179417e+09	(-3.46940933387549e+00dB,9.10998382431737e+01°)
1.58489319246112e+09	(-5.45840932495783e+00dB,8.97243377524341e+01°)
1.99526231496889e+09	(-7.44694345781363e+00dB,8.83344870516941e+01°)
2.51188643150960e+09	(-9.43256219863166e+00dB,8.68581332893901e+01°)
3.16227766016840e+09	(-1.14122131666305e+01dB,8.52195826193596e+01°)
3.98107170553500e+09	(-1.33816282584726e+01dB,8.33369707214425e+01°)
5.01187233627275e+09	(-1.53345109233471e+01dB,8.11204237439569e+01°)
6.30957344480197e+09	(-1.72614373460868e+01dB,7.84719465653061e+01°)
7.94328234724287e+09	(-1.91484356629435e+01dB,7.52887169823682e+01°)
1.00000000000000e+10	(-2.09753662443611e+01dB,7.14724045484495e+01°)
