0.000000000000000e+00	0.000000e+00
5.242879851721227e-04	2.714083e-06
1.048575970344245e-03	5.401994e-06
2.048575970344245e-03	1.045736e-05
3.048575970344245e-03	1.542082e-05
5.048575970344246e-03	2.508035e-05
7.048575970344246e-03	3.439655e-05
9.175578059311511e-03	4.394443e-05
1.236093088967265e-02	5.758534e-05
1.636093088967266e-02	7.366925e-05
1.848182000000000e-02	8.175468e-05
2.368182000000000e-02	1.003759e-04
2.757273000000000e-02	1.132704e-04
3.377273000000000e-02	1.321475e-04
3.706364000000000e-02	1.413982e-04
4.545455000000000e-02	1.628046e-04
5.484545000000000e-02	1.834415e-04
6.513636000000000e-02	2.025640e-04
7.522727000000000e-02	2.182611e-04
8.631818000000001e-02	2.325729e-04
1.003000000000000e-01	2.471056e-04
1.215000000000000e-01	2.638865e-04
1.459444400000000e-01	2.785316e-04
1.923888900000000e-01	2.999821e-04
2.388333300000000e-01	3.180081e-04
2.842777800000000e-01	3.343297e-04
3.297222200000000e-01	3.500486e-04
3.751666700000000e-01	3.654658e-04
4.216111100000000e-01	3.810658e-04
4.680555600000000e-01	3.965944e-04
5.000000000000000e-01	4.072608e-04
